r(x_rel=0.25)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
3.06	17038	17073.63	17420.268	18834.815	22457.007	24407.792	26390.578	28381.062	30376.733	34409.593	35425.184	36441.855	37458.807	38475.567	39491.85	50607.571	51158.317	50854.938	50107.656	49275.361	47465.498	43589.908	42602.964	41613.233	40620.663	39624.449	38624.137	37619.991	36613.041	35604.869	34597.151	33591.134	32587.298	31585.261	30683.957
3.24	17038	17098.387	17550.506	19128.366	22880.515	24857.442	26853.02	28848.918	30847.965	34888.019	35904.794	36922.26	37939.673	38956.64	39972.94	51083.599	51606.787	50727.638	49882.07	48979.57	47081.749	43138.307	42145.231	41151.268	40155.37	39156.261	38153.343	37146.947	36138.264	35129.028	34120.945	33115.135	32111.826	31110.329	30209.239
3.42	17038	17138.353	17716.592	19458.729	23334.736	25336.27	27343.484	29344.14	31346.552	35394.135	36412.051	37430.241	38448.043	39465.15	40481.408	51585.876	52067.266	50551.152	49612.414	48643.868	46663.846	42657.978	41659.386	40661.547	39662.467	38660.479	37654.933	36646.289	35635.943	34625.786	33617.524	32612.101	31609.447	30608.527	29707.583
3.6	17038	17201.076	17925.055	19827.889	23820.28	25844.576	27862.07	29866.781	31872.589	35928.006	36946.995	37965.822	38983.926	40001.098	41017.248	52113.709	52531.894	50321.215	49295.85	48266.274	46210.789	42148.723	41145.292	40143.951	39141.828	38136.979	37128.792	36117.925	35106.022	34095.128	33086.908	32082.069	31080.195	30079.869	29178.967
3.78	17038	17296.458	18182.546	20237.563	24337.685	26382.608	28408.847	30416.887	32426.179	36489.69	37509.659	38529.018	39547.328	40564.481	41580.451	52665.75	52988.885	50034.127	48929.927	47845.094	45721.737	41610.398	40602.843	39598.372	38593.336	37585.637	36574.806	35561.771	34548.459	33537.057	32529.132	31525.087	30524.109	29524.365	28623.358
3.96	17038	17436.616	18495.511	20689.187	24887.405	26950.555	28983.842	30994.496	33007.433	37079.239	38100.07	39119.836	40138.245	41155.291	42171.004	53239.38	53420.8	49686.813	48512.625	47378.952	45196.025	41042.914	40031.965	39024.718	38016.873	37006.329	35992.863	34977.749	33963.226	32951.592	31944.245	30941.213	29941.232	28942.022	28040.707
4.14	17038	17635.28	18869.784	21183.917	25469.805	27548.542	29587.044	31599.646	33616.473	37696.695	38718.242	39738.277	40756.667	41773.512	42788.888	53829.503	53802.31	49276.874	48042.392	46866.812	44633.171	40446.236	39432.613	38422.903	37412.324	36398.931	35382.859	34365.796	33350.313	32338.772	31332.314	30330.514	29331.606	28332.836	27430.947
4.32	17038	17906.829	19310.109	21722.646	26085.153	28176.627	30218.403	32232.372	34253.435	38342.09	39364.183	40384.333	41402.581	42419.126	43434.079	54426.192	54097.652	48802.619	47518.169	46307.99	44032.885	39820.386	38804.77	37792.851	36779.573	35763.322	34744.693	33725.861	32709.73	31698.656	30693.421	29693.065	28695.272	27696.788	26793.981
4.5	17038	18265.323	19819.639	22306.033	26733.618	28834.793	30877.83	32892.718	34918.47	39015.441	40037.887	41057.986	42075.963	43092.108	44106.548	55010.112	54258.501	48263.103	46939.402	45702.165	43395.071	39165.433	38148.436	37134.486	36118.504	35099.378	34078.274	33057.91	32041.511	31031.328	30027.667	29028.948	28032.267	27033.846	26129.682
4.68	17038	18723.773	20399.475	22934.522	27415.263	29522.947	31565.203	33580.737	35611.742	39716.754	40739.337	41759.211	42776.785	43792.427	44806.261	55543.583	54224.357	47658.139	46306.051	45049.377	42719.827	38481.493	37463.627	36447.73	35428.996	34406.981	33383.523	32361.934	31345.72	30336.897	29335.168	28338.249	27342.617	26343.951	25437.882
4.86	17038	19293.578	21048.338	23608.364	28130.047	30240.917	32280.368	34296.5	36333.432	40446.019	41468.504	42487.973	43505.012	44520.048	45533.177	55953.138	53930.458	46988.288	45618.582	44350.015	42007.444	37768.72	36750.364	35732.499	34710.925	33686.014	32660.375	31637.95	30622.451	29615.499	28616.052	27621.052	26626.334	25627.016	24718.36
5.04	17038	19983.789	21762.543	24327.61	28877.821	30988.448	33023.158	35040.102	37083.734	41203.209	42225.345	43244.227	44260.6	45274.931	46287.251	56095.425	53334.665	46254.82	44877.951	43604.81	41258.402	37027.292	36008.661	34988.699	33964.159	32936.367	31908.787	30886.009	29871.833	28867.295	27870.463	26877.439	25883.41	24882.912	23970.839
5.22	17038	20799.812	22536.153	25091.869	29658.133	31765.016	33793.221	35811.485	37862.66	41988.096	43009.622	44027.739	45043.321	46056.846	47068.247	55693.064	52488.18	45459.915	44085.814	42815.024	40473.562	36257.586	35238.699	34216.407	33188.754	32158.13	31128.929	30106.386	29094.217	28092.651	27098.726	26107.658	25113.988	24111.646	23195.152
