r(x_rel=0.75)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.004	17039.786	17186.371	18986.461	20512.26	22247.214	24096.046	26013.22	29947.593	30936.998	31925.799	32913.648	33900.713	34887.374	45791.484	46389.803	49413.957	49892.666	50083.33	49731.986	47264.042	46448.704	45586.19	44688.548	43763.798	42818.565	41858.461	40888.085	39910.902	38929.18	37944.097	36956.005	35964.824	35070.026
0.18	17038	17038.006	17040.172	17195.974	19024.093	20557.153	22296.011	24147.106	26065.694	30001.034	30990.417	31979.167	32966.965	33953.997	34940.648	45845.329	46443.661	49447.1	49910	50085.37	49711.081	47221.151	46403.081	45538.463	44639.183	43713.179	42767.017	41806.259	40835.447	39857.978	38876.06	37890.814	36902.56	35911.206	35016.253
0.36	17038	17038.009	17040.591	17205.782	19061.853	20602.114	22344.846	24198.189	26118.183	30054.475	31043.836	32032.533	33020.28	34007.28	34993.923	45899.175	46497.519	49479.831	49926.891	50087.024	49689.938	47178.178	46357.394	45490.686	44589.78	43662.53	42715.448	41754.043	40782.799	39805.048	38822.934	37837.526	36849.11	35857.584	34962.475
0.54	17038	17038.013	17041.25	17219.954	19114.99	20665.206	22413.295	24269.756	26191.697	30129.292	31118.619	32107.241	33094.919	34081.876	35068.508	45974.563	46572.918	49524.776	49949.598	50088.528	49659.835	47117.843	46293.299	45423.694	44520.534	43591.56	42643.207	41680.911	40709.073	39730.934	38748.549	37762.914	36774.271	35782.503	34887.176
0.72	17038	17038.02	17042.265	17239.541	19185.954	20749.153	22504.235	24364.779	26289.27	30228.539	31217.816	32206.339	33193.925	34180.827	35167.447	46074.575	46672.936	49582.822	49978.058	50089.089	49619.018	47037.503	46208.038	45334.642	44428.534	43497.31	42547.301	41583.847	40611.238	39632.596	38649.858	37663.924	36674.977	35682.887	34787.272
0.9	17038	17038.034	17043.789	17265.416	19275.864	20855.027	22618.716	24484.306	26411.946	30353.232	31342.44	32330.837	33318.311	34305.147	35291.756	46200.243	46798.592	49653.217	50011.176	50087.533	49566.343	46936.083	46100.544	45222.466	44312.72	43378.724	42426.682	41461.813	40488.265	39509.009	38525.835	37539.525	36550.196	35557.7	34661.725
1.08	17038	17038.059	17046.041	17298.553	19385.543	20983.48	22757.308	24628.872	26560.234	30503.833	31492.948	32481.191	33468.534	34455.297	35441.898	46352.041	46950.343	49734.462	50047.31	50082.364	49500.7	46812.893	45970.173	45086.558	44172.514	43235.251	42280.825	41314.303	40339.663	39359.691	38376.001	37389.24	36399.445	35406.458	34510.049
1.26	17038	17038.103	17049.332	17340.092	19515.75	21135.033	22920.414	24798.826	26734.446	30680.588	31669.581	32657.643	33644.837	34631.522	35618.121	46530.229	47128.423	49824.511	50084.39	50071.794	49420.898	46667.355	45816.418	44926.466	44007.51	43066.526	42109.397	41141.012	40165.146	39184.368	38200.088	37212.798	36222.453	35228.886	34331.974
1.44	17038	17038.183	17054.103	17391.368	19667.252	21310.166	23108.369	24994.437	26934.802	30883.642	31872.479	32860.333	33847.364	34833.97	35820.576	46734.97	47332.953	49920.824	50119.974	50053.773	49325.63	46498.916	45638.816	44741.795	43817.367	42872.257	41912.149	40941.725	39964.524	38982.861	37997.921	37010.025	36019.043	35024.807	34127.322
1.62	17038	17038.329	17060.966	17453.926	19840.845	21509.346	23321.484	25215.939	27161.479	31113.085	32101.728	33089.348	34076.206	35062.736	36049.364	46966.374	47563.979	50020.392	50151.285	50026.016	49213.476	46307.021	45436.911	44532.167	43601.775	42652.189	41688.874	40716.273	39737.651	38755.042	37769.376	36780.794	35789.084	34794.091	33895.967
1.8	17038	17038.594	17070.756	17529.523	20037.357	21733.047	23560.061	25463.549	27414.626	31368.975	32357.383	33344.744	34331.423	35317.887	36304.553	47224.524	47821.485	50119.75	50175.246	49986.029	49082.916	46091.096	45210.241	44297.206	43360.431	42406.084	41439.388	40464.512	39484.413	38500.809	37514.355	36525.006	35532.475	34536.634	33637.812
1.98	17038	17039.073	17084.59	17620.132	20257.641	21981.746	23824.401	25737.48	27694.382	31651.347	32639.476	33626.558	34613.059	35599.468	36586.195	47509.483	48105.383	50215.004	50188.526	49931.152	48932.343	45850.55	44958.334	44036.536	43093.038	42133.716	41163.521	40186.317	39204.711	38220.077	37232.775	36242.574	35249.125	34252.349	33352.776
2.16	17038	17039.933	17103.935	17727.933	20502.568	22255.928	24114.805	26037.939	28000.871	31960.221	32948.027	33934.814	34921.141	35907.517	36894.332	47821.301	48415.494	50301.864	50187.579	49858.589	48760.089	45584.773	44680.705	43749.772	42799.301	41834.863	40861.115	39881.572	38898.459	37912.77	36924.562	35933.421	34938.954	33941.156	33040.789
2.34	17038	17041.469	17130.673	17855.302	20773.012	22556.076	24431.577	26365.133	28334.209	32295.606	33283.044	34269.527	35255.695	36242.064	37228.998	48160.02	48751.507	50375.695	50168.699	49765.451	48564.444	45293.145	44376.865	43436.53	42478.925	41509.312	40532.02	39550.176	38565.58	37578.822	36589.646	35597.47	34601.884	33602.983	32701.788
2.52	17038	17044.182	17167.163	18004.795	21069.841	22882.67	24775.025	26719.267	28694.503	32657.502	33644.531	34630.707	35616.739	36603.133	37590.224	48525.67	49112.913	50431.584	50128.073	49648.799	48343.685	44975.038	44046.318	43096.425	42131.624	41156.859	40176.098	39192.034	38206.003	37218.169	36227.96	35234.648	34237.837	33237.756	32335.718
