r(x_rel=0.5)	t=0	t=1000	t=2000	t=3620
0	29866	23213.782	15493.28	2110.0309
0.20206897	29866	23207.02	15486.672	2103.9885
0.40413793	29866	23200.257	15480.064	2097.9446
0.6062069	29866	23190.784	15470.814	2089.4793
0.80827586	29866	23178.21	15458.544	2078.243
1.0103448	29866	23162.402	15443.13	2064.1138
1.2124138	29866	23143.293	15424.515	2047.0298
1.4144828	29866	23120.841	15402.668	2026.95
1.6165517	29866	23095.018	15377.57	2003.8408
1.8186207	29866	23065.797	15349.208	1977.67
2.0206897	29866	23033.158	15317.57	1948.4035
2.2227586	29866	22997.078	15282.646	1916.0044
2.4248276	29866	22957.535	15244.425	1880.431
2.6268966	29866	22914.507	15202.895	1841.6376
2.8289655	29866	22867.971	15158.044	1799.5738
3.0310345	29866	22817.903	15109.855	1754.1857
3.2331034	29866	22764.278	15058.312	1705.4172
3.4351724	29866	22707.069	15003.395	1653.2119
3.6372414	29866	22646.251	14945.083	1597.5155
3.8393103	29866	22581.793	14883.355	1538.279
4.0413793	29866	22513.668	14818.186	1475.4622
4.2434483	29866	22441.844	14749.551	1409.0372
4.4455172	29866	22366.291	14677.425	1338.9926
4.6475862	29866	22286.977	14601.783	1265.3357
4.8496552	29866	22203.868	14522.598	1188.0954
5.0517241	29866	22116.932	14439.845	1107.3215
5.2537931	29866	22026.136	14353.497	1023.082
5.4558621	29866	21931.446	14263.527	935.45686
5.657931	29866	21832.829	14169.906	844.52541
5.86	29866	21730.276	14072.629	750.37146
