r(x_rel=0.5)	t=0	t=1000	t=2000	t=3620
0	17038	20599.01	30078.545	46227.512
0.18	17038	20644.202	30132.123	46281.602
0.36	17038	20689.464	30185.703	46335.692
0.54	17038	20752.977	30260.717	46411.421
0.72	17038	20837.486	30360.232	46511.88
0.9	17038	20944.068	30485.272	46638.104
1.08	17038	21073.381	30636.306	46790.563
1.26	17038	21225.953	30813.589	46969.514
1.44	17038	21402.264	31017.278	47175.112
1.62	17038	21602.789	31247.476	47407.462
1.8	17038	21828.007	31504.254	47666.636
1.98	17038	22078.402	31787.666	47952.688
2.16	17038	22354.461	32097.751	48265.662
2.34	17038	22656.676	32434.54	48605.592
2.52	17038	22985.53	32798.057	48972.509
2.7	17038	23341.499	33188.322	49366.439
2.88	17038	23725.044	33605.352	49787.405
3.06	17038	24136.607	34049.159	50235.429
3.24	17038	24576.603	34519.755	50710.53
3.42	17038	25045.424	35017.151	51212.725
3.6	17038	25543.428	35541.356	51742.03
3.78	17038	26070.941	36092.377	52298.46
3.96	17038	26628.254	36670.221	52882.028
4.14	17038	27215.619	37274.894	53492.749
4.32	17038	27833.25	37906.405	54130.646
4.5	17038	28481.32	38564.768	54795.754
4.68	17038	29159.962	39250.003	55488.125
4.86	17038	29869.268	39962.146	56207.84
5.04	17038	30609.291	40701.246	56955.006
5.22	17038	31379.859	41467.183	57729.567
