r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	29866	24275.47	17011.311	2259.3891
0.20206897	29866	24269.884	17005.746	2251.1879
0.40413793	29866	24264.297	17000.177	2242.9952
0.6062069	29866	24256.472	16992.376	2231.5437
0.80827586	29866	24246.084	16982.017	2216.3863
1.0103448	29866	24233.023	16968.986	2197.3969
1.2124138	29866	24217.233	16953.226	2174.5444
1.4144828	29866	24198.679	16934.7	2147.8412
1.6165517	29866	24177.335	16913.379	2117.3268
1.8186207	29866	24153.178	16889.242	2083.0616
2.0206897	29866	24126.19	16862.27	2045.1238
2.2227586	29866	24096.348	16832.446	2003.6085
2.4248276	29866	24063.633	16799.754	1958.6261
2.6268966	29866	24028.023	16764.183	1910.3006
2.8289655	29866	23989.496	16725.721	1858.7676
3.0310345	29866	23948.026	16684.36	1804.1709
3.2331034	29866	23903.589	16640.093	1746.658
3.4351724	29866	23856.156	16592.911	1686.3746
3.6372414	29866	23805.699	16542.811	1623.4568
3.8393103	29866	23752.185	16489.785	1558.0231
4.0413793	29866	23695.582	16433.827	1490.164
4.2434483	29866	23635.854	16374.928	1419.9316
4.4455172	29866	23572.962	16313.076	1347.3284
4.6475862	29866	23506.866	16248.255	1272.2971
4.8496552	29866	23437.523	16180.447	1194.7124
5.0517241	29866	23364.888	16109.627	1114.3769
5.2537931	29866	23288.91	16035.768	1031.0237
5.4558621	29866	23209.538	15958.838	944.32827
5.657931	29866	23126.717	15878.802	853.93497
5.86	29866	23040.41	15795.643	759.52633
