r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	17038	21087.018	30871.389	47620.003
0.18	17038	21135.323	30926.285	47674.99
0.36	17038	21183.691	30981.195	47729.972
0.54	17038	21251.537	31058.099	47806.936
0.72	17038	21341.768	31160.167	47909.01
0.9	17038	21455.499	31288.49	48037.227
1.08	17038	21593.387	31443.601	48192.042
1.26	17038	21755.94	31625.827	48373.686
1.44	17038	21943.614	31835.404	48582.284
1.62	17038	22156.848	32072.523	48817.902
1.8	17038	22396.084	32337.36	49080.572
1.98	17038	22661.767	32630.075	49370.299
2.16	17038	22954.347	32950.829	49687.071
2.34	17038	23274.274	33299.776	50030.862
2.52	17038	23621.993	33677.071	50401.636
2.7	17038	23997.935	34082.863	50799.349
2.88	17038	24402.507	34517.298	51223.953
3.06	17038	24836.079	34980.512	51675.402
3.24	17038	25298.973	35472.636	52153.654
3.42	17038	25791.445	35993.79	52658.681
3.6	17038	26313.672	36544.088	53190.467
3.78	17038	26865.737	37123.634	53749.013
3.96	17038	27447.617	37732.523	54334.321
4.14	17038	28059.17	38370.835	54946.378
4.32	17038	28700.13	39038.624	55585.108
4.5	17038	29370.103	39735.896	56250.314
4.68	17038	30068.571	40462.585	56941.606
4.86	17038	30794.892	41218.521	57658.319
5.04	17038	31548.308	42003.415	58399.492
5.22	17038	32327.756	42816.68	59163.776
