r(x_rel=0.75)	t=0	t=1000	t=2000	t=3620
0	17038	20524.493	29949.824	45992.081
0.18	17038	20569.176	30003.238	46045.941
0.36	17038	20613.93	30056.652	46099.803
0.54	17038	20676.733	30131.433	46175.213
0.72	17038	20760.304	30230.632	46275.255
0.9	17038	20865.713	30355.266	46400.961
1.08	17038	20993.619	30505.796	46552.805
1.26	17038	21144.552	30682.47	46731.047
1.44	17038	21318.998	30885.433	46935.849
1.62	17038	21517.439	31114.776	47167.322
1.8	17038	21740.361	31370.557	47425.546
1.98	17038	21988.255	31652.812	47710.585
2.16	17038	22261.618	31961.565	48022.492
2.34	17038	22560.945	32296.823	48361.314
2.52	17038	22886.726	32658.591	48727.093
2.7	17038	23239.438	33046.863	49119.868
2.88	17038	23619.541	33461.63	49539.673
3.06	17038	24027.472	33902.879	49986.54
3.24	17038	24463.645	34370.595	50460.493
3.42	17038	24928.447	34864.759	50961.551
3.6	17038	25422.24	35385.351	51489.723
3.78	17038	25945.358	35932.346	52045.009
3.96	17038	26498.113	36505.718	52627.409
4.14	17038	27080.791	37105.439	53236.925
4.32	17038	27693.653	37731.481	53873.58
4.5	17038	28336.934	38383.827	54537.442
4.68	17038	29010.844	39062.478	55228.652
4.86	17038	29715.561	39767.465	55947.455
5.04	17038	30451.244	40498.861	56694.214
5.22	17038	31217.842	41256.601	57469.196
