r(x_rel=1)	t=0	t=1000	t=2000	t=3620
0	29866	20133.834	11049.704	1993.2464
0.20206897	29866	20127.911	11043.511	1987.7538
0.40413793	29866	20121.991	11037.321	1982.2583
0.6062069	29866	20113.706	11028.664	1974.5583
0.80827586	29866	20102.721	11017.192	1964.3324
1.0103448	29866	20088.93	11002.8	1951.4652
1.2124138	29866	20072.286	10985.449	1935.8946
1.4144828	29866	20052.77	10965.128	1917.576
1.6165517	29866	20030.372	10941.838	1896.4701
1.8186207	29866	20005.091	10915.592	1872.5373
2.0206897	29866	19976.928	10886.408	1845.7352
2.2227586	29866	19945.885	10854.31	1816.0166
2.4248276	29866	19911.968	10819.324	1783.3288
2.6268966	29866	19875.18	10781.483	1747.6133
2.8289655	29866	19835.528	10740.821	1708.8064
3.0310345	29866	19793.015	10697.376	1666.8393
3.2331034	29866	19747.645	10651.191	1621.6406
3.4351724	29866	19699.42	10602.311	1573.138
3.6372414	29866	19648.341	10550.786	1521.2619
3.8393103	29866	19594.41	10496.668	1465.9492
4.0413793	29866	19537.626	10440.016	1407.1485
4.2434483	29866	19477.986	10380.89	1344.8252
4.4455172	29866	19415.489	10319.358	1278.9684
4.6475862	29866	19350.132	10255.487	1209.5963
4.8496552	29866	19281.91	10189.353	1136.7626
5.0517241	29866	19210.821	10121.033	1060.5608
5.2537931	29866	19136.857	10050.608	981.12627
5.4558621	29866	19060.013	9978.1614	898.6352
5.657931	29866	18980.277	9903.7786	813.2974
5.86	29866	18897.651	9827.5629	725.36147
