r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	29866	24274.355	17008.642	2246.6464
0.20206897	29866	24268.767	17003.073	2238.4501
0.40413793	29866	24263.177	16997.501	2230.2628
0.6062069	29866	24255.348	16989.695	2218.8197
0.80827586	29866	24244.955	16979.329	2203.675
1.0103448	29866	24231.888	16966.291	2184.7039
1.2124138	29866	24216.09	16950.521	2161.8769
1.4144828	29866	24197.526	16931.984	2135.2083
1.6165517	29866	24176.171	16910.65	2104.7394
1.8186207	29866	24152.003	16886.5	2070.5325
2.0206897	29866	24125	16859.512	2032.668
2.2227586	29866	24095.143	16829.67	1991.2425
2.4248276	29866	24062.411	16796.961	1946.368
2.6268966	29866	24026.782	16761.37	1898.1694
2.8289655	29866	23988.234	16722.888	1846.7827
3.0310345	29866	23946.742	16681.506	1792.3512
3.2331034	29866	23902.279	16637.215	1735.0211
3.4351724	29866	23854.82	16590.011	1674.9353
3.6372414	29866	23804.333	16539.886	1612.2266
3.8393103	29866	23750.789	16486.835	1547.0083
4.0413793	29866	23694.152	16430.851	1479.3648
4.2434483	29866	23634.387	16371.924	1409.3409
4.4455172	29866	23571.456	16310.043	1336.9313
4.6475862	29866	23505.318	16245.193	1262.0704
4.8496552	29866	23435.93	16177.352	1184.625
5.0517241	29866	23363.246	16106.498	1104.3908
5.2537931	29866	23287.216	16032.603	1021.0959
5.4558621	29866	23207.789	15955.633	934.4136
5.657931	29866	23124.909	15875.555	843.98907
5.86	29866	23038.539	15792.35	749.50886
