r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	17038	21087.005	30871.31	47619.663
0.18	17038	21135.31	30926.206	47674.647
0.36	17038	21183.677	30981.115	47729.627
0.54	17038	21251.523	31058.018	47806.587
0.72	17038	21341.753	31160.084	47908.658
0.9	17038	21455.483	31288.406	48036.869
1.08	17038	21593.371	31443.516	48191.677
1.26	17038	21755.923	31625.74	48373.313
1.44	17038	21943.595	31835.313	48581.903
1.62	17038	22156.828	32072.43	48817.512
1.8	17038	22396.063	32337.263	49080.17
1.98	17038	22661.744	32629.975	49369.885
2.16	17038	22954.322	32950.724	49686.645
2.34	17038	23274.247	33299.667	50030.423
2.52	17038	23621.963	33676.956	50401.184
2.7	17038	23997.903	34082.742	50798.884
2.88	17038	24402.472	34517.17	51223.476
3.06	17038	24836.042	34980.378	51674.915
3.24	17038	25298.933	35472.494	52153.16
3.42	17038	25791.402	35993.641	52658.183
3.6	17038	26313.626	36543.931	53189.971
3.78	17038	26865.689	37123.469	53748.523
3.96	17038	27447.566	37732.351	54333.842
4.14	17038	28059.117	38370.658	54945.911
4.32	17038	28700.075	39038.442	55584.648
4.5	17038	29370.046	39735.71	56249.848
4.68	17038	30068.513	40462.395	56941.109
4.86	17038	30794.835	41218.326	57657.756
5.04	17038	31548.25	42003.216	58398.825
5.22	17038	32327.699	42816.472	59162.979
