r(x_rel=0.25)	t=0	t=1000	t=2000	t=3620
0	29866	24001.703	16616.989	2195.7162
0.20206897	29866	23995.793	16611.006	2188.1304
0.40413793	29866	23989.881	16605.022	2180.554
0.6062069	29866	23981.6	16596.644	2169.9673
0.80827586	29866	23970.609	16585.529	2155.9594
1.0103448	29866	23956.788	16571.561	2138.4166
1.2124138	29866	23940.078	16554.687	2117.3123
1.4144828	29866	23920.443	16534.877	2092.6578
1.6165517	29866	23897.854	16512.114	2064.4865
1.8186207	29866	23872.288	16486.385	2032.8463
2.0206897	29866	23843.723	16457.681	1997.796
2.2227586	29866	23812.136	16425.996	1959.4023
2.4248276	29866	23777.506	16391.323	1917.7377
2.6268966	29866	23739.809	16353.659	1872.8779
2.8289655	29866	23699.021	16312.999	1824.8997
3.0310345	29866	23655.115	16269.338	1773.8774
3.2331034	29866	23608.063	16222.67	1719.8803
3.4351724	29866	23557.835	16172.99	1662.9685
3.6372414	29866	23504.401	16120.287	1603.1889
3.8393103	29866	23447.725	16064.552	1540.5719
4.0413793	29866	23387.772	16005.769	1475.1265
4.2434483	29866	23324.503	15943.923	1406.837
4.4455172	29866	23257.877	15878.991	1335.6603
4.6475862	29866	23187.852	15810.951	1261.5233
4.8496552	29866	23114.38	15739.775	1184.3232
5.0517241	29866	23037.413	15665.432	1103.9294
5.2537931	29866	22956.9	15587.89	1020.1876
5.4558621	29866	22872.783	15507.113	932.92768
5.657931	29866	22785.007	15423.064	841.97341
5.86	29866	22693.531	15335.726	747.17877
