r(x_rel=1)	t=0	t=1000	t=2000	t=3620
0	17038	20598.553	30047.635	46143.163
0.18	17038	20643.552	30101.137	46197.049
0.36	17038	20688.62	30154.641	46250.937
0.54	17038	20751.86	30229.551	46326.382
0.72	17038	20836.005	30328.926	46426.469
0.9	17038	20942.127	30453.793	46552.227
1.08	17038	21070.881	30604.619	46704.13
1.26	17038	21222.79	30781.66	46882.435
1.44	17038	21398.336	30985.074	47087.302
1.62	17038	21597.991	31214.964	47318.837
1.8	17038	21822.233	31471.402	47577.118
1.98	17038	22071.548	31754.441	47862.204
2.16	17038	22346.427	32064.122	48174.145
2.34	17038	22647.362	32400.474	48512.983
2.52	17038	22974.843	32763.521	48878.755
2.7	17038	23329.35	33153.279	49271.492
2.88	17038	23711.346	33569.762	49691.224
3.06	17038	24121.274	34012.976	50137.971
3.24	17038	24559.552	34482.926	50611.746
3.42	17038	25026.563	34979.609	51112.549
3.6	17038	25522.659	35503.017	51640.371
3.78	17038	26048.152	36053.135	52195.187
3.96	17038	26603.317	36629.94	52776.968
4.14	17038	27188.389	37233.403	53385.69
4.32	17038	27803.563	37863.492	54021.353
4.5	17038	28448.997	38520.18	54684.016
4.68	17038	29124.811	39203.452	55373.831
4.86	17038	29831.089	39913.32	56091.079
5.04	17038	30567.884	40649.831	56836.191
5.22	17038	31335.032	41412.89	57609.52
