r(x_rel=0.75)	t=0	t=1000	t=2000	t=3620
0	17038	20524.499	29949.854	45992.211
0.18	17038	20569.182	30003.269	46046.072
0.36	17038	20613.936	30056.683	46099.935
0.54	17038	20676.739	30131.464	46175.347
0.72	17038	20760.31	30230.664	46275.39
0.9	17038	20865.719	30355.298	46401.098
1.08	17038	20993.626	30505.829	46552.944
1.26	17038	21144.559	30682.504	46731.189
1.44	17038	21319.005	30885.468	46935.995
1.62	17038	21517.447	31114.811	47167.471
1.8	17038	21740.369	31370.594	47425.699
1.98	17038	21988.264	31652.851	47710.743
2.16	17038	22261.628	31961.604	48022.655
2.34	17038	22560.956	32296.865	48361.482
2.52	17038	22886.738	32658.634	48727.266
2.7	17038	23239.451	33046.908	49120.046
2.88	17038	23619.554	33461.678	49539.856
3.06	17038	24027.487	33902.93	49986.727
3.24	17038	24463.661	34370.648	50460.684
3.42	17038	24928.464	34864.815	50961.743
3.6	17038	25422.258	35385.409	51489.916
3.78	17038	25945.377	35932.407	52045.202
3.96	17038	26498.133	36505.782	52627.599
4.14	17038	27080.812	37105.505	53237.113
4.32	17038	27693.675	37731.549	53873.767
4.5	17038	28336.957	38383.897	54537.632
4.68	17038	29010.867	39062.549	55228.853
4.86	17038	29715.585	39767.538	55947.678
5.04	17038	30451.267	40498.936	56694.472
5.22	17038	31217.866	41256.678	57469.498
