r(x_rel=1)	t=0	t=1000	t=2000	t=3620
0	29866	20130.53	11042.831	1987.9339
0.20206897	29866	20124.612	11036.65	1982.4301
0.40413793	29866	20118.695	11030.472	1976.9234
0.6062069	29866	20110.415	11021.831	1969.2074
0.80827586	29866	20099.438	11010.382	1958.9601
1.0103448	29866	20085.656	10996.018	1946.0655
1.2124138	29866	20069.023	10978.701	1930.4611
1.4144828	29866	20049.519	10958.419	1912.1019
1.6165517	29866	20027.135	10935.175	1890.9483
1.8186207	29866	20001.869	10908.98	1866.9603
2.0206897	29866	19973.721	10879.854	1840.0951
2.2227586	29866	19942.695	10847.819	1810.3052
2.4248276	29866	19908.796	10812.902	1777.5377
2.6268966	29866	19872.027	10775.136	1741.7341
2.8289655	29866	19832.394	10734.555	1702.8306
3.0310345	29866	19789.899	10691.197	1660.7589
3.2331034	29866	19744.548	10645.105	1615.4482
3.4351724	29866	19696.342	10596.323	1566.8271
3.6372414	29866	19645.282	10544.903	1514.8273
3.8393103	29866	19591.369	10490.896	1459.3875
4.0413793	29866	19534.601	10434.361	1400.4582
4.2434483	29866	19474.978	10375.358	1338.0076
4.4455172	29866	19412.497	10313.955	1272.0273
4.6475862	29866	19347.154	10250.22	1202.5388
4.8496552	29866	19278.947	10184.228	1129.5988
5.0517241	29866	19207.87	10116.057	1053.3038
5.2537931	29866	19133.919	10045.787	973.79176
5.4558621	29866	19057.086	9973.5019	891.24037
5.657931	29866	18977.36	9899.2874	805.85991
5.86	29866	18894.744	9823.2467	717.89781
