r(x_rel=0.25)	t=0	t=1000	t=2000	t=3620
0	17038	20792.246	30390.695	46777.911
0.18	17038	20838.641	30444.71	46832.406
0.36	17038	20885.102	30498.731	46886.9
0.54	17038	20950.288	30574.373	46963.188
0.72	17038	21037.005	30674.737	47064.381
0.9	17038	21146.344	30800.871	47191.51
1.08	17038	21278.962	30953.266	47345.042
1.26	17038	21435.376	31132.206	47525.224
1.44	17038	21616.054	31337.874	47732.198
1.62	17038	21821.457	31570.409	47966.053
1.8	17038	22052.045	31829.922	48226.845
1.98	17038	22308.287	32116.508	48514.609
2.16	17038	22590.655	32430.256	48829.366
2.34	17038	22899.627	32771.249	49171.127
2.52	17038	23235.68	33139.565	49539.897
2.7	17038	23599.282	33535.28	49935.674
2.88	17038	23990.888	33958.47	50358.456
3.06	17038	24410.934	34409.204	50808.239
3.24	17038	24859.822	34887.551	51285.021
3.42	17038	25337.92	35393.576	51788.807
3.6	17038	25845.543	35927.342	52319.606
3.78	17038	26382.952	36488.91	52877.434
3.96	17038	26950.339	37078.339	53462.31
4.14	17038	27547.829	37695.685	54074.246
4.32	17038	28175.47	38340.999	54713.234
4.5	17038	28833.234	39014.323	55379.226
4.68	17038	29521.017	39715.675	56072.1
4.86	17038	30238.642	40445.046	56791.643
5.04	17038	30985.854	41202.385	57537.527
5.22	17038	31762.134	41987.414	58309.167
