r(x_rel=0.5)	t=0	t=1000	t=2000	t=3620
0	17038	20599.01	30078.548	46227.525
0.18	17038	20644.202	30132.126	46281.615
0.36	17038	20689.464	30185.706	46335.705
0.54	17038	20752.977	30260.721	46411.434
0.72	17038	20837.486	30360.235	46511.894
0.9	17038	20944.068	30485.275	46638.117
1.08	17038	21073.382	30636.309	46790.577
1.26	17038	21225.953	30813.593	46969.528
1.44	17038	21402.264	31017.282	47175.127
1.62	17038	21602.79	31247.48	47407.477
1.8	17038	21828.008	31504.258	47666.651
1.98	17038	22078.402	31787.67	47952.704
2.16	17038	22354.462	32097.755	48265.678
2.34	17038	22656.676	32434.544	48605.609
2.52	17038	22985.531	32798.062	48972.526
2.7	17038	23341.5	33188.327	49366.456
2.88	17038	23725.046	33605.357	49787.422
3.06	17038	24136.608	34049.164	50235.446
3.24	17038	24576.605	34519.761	50710.547
3.42	17038	25045.426	35017.158	51212.742
3.6	17038	25543.43	35541.363	51742.047
3.78	17038	26070.943	36092.384	52298.476
3.96	17038	26628.256	36670.229	52882.042
4.14	17038	27215.621	37274.902	53492.762
4.32	17038	27833.252	37906.413	54130.658
4.5	17038	28481.322	38564.776	54795.765
4.68	17038	29159.964	39250.011	55488.138
4.86	17038	29869.27	39962.155	56207.857
5.04	17038	30609.293	40701.254	56955.029
5.22	17038	31379.861	41467.192	57729.598
