r(x_rel=0.25)	t=0	t=1000	t=2000	t=3620
0	29866	24001.979	16617.608	2198.2567
0.20206897	29866	23996.07	16611.626	2190.6685
0.40413793	29866	23990.159	16605.643	2183.0897
0.6062069	29866	23981.879	16597.266	2172.4995
0.80827586	29866	23970.889	16586.152	2158.4869
1.0103448	29866	23957.07	16572.186	2140.938
1.2124138	29866	23940.362	16555.314	2119.826
1.4144828	29866	23920.729	16535.508	2095.1621
1.6165517	29866	23898.143	16512.747	2066.9796
1.8186207	29866	23872.581	16487.022	2035.3262
2.0206897	29866	23844.019	16458.321	2000.2607
2.2227586	29866	23812.437	16426.639	1961.8496
2.4248276	29866	23777.811	16391.971	1920.1656
2.6268966	29866	23740.119	16354.311	1875.2844
2.8289655	29866	23699.337	16313.656	1827.2829
3.0310345	29866	23655.436	16270	1776.2358
3.2331034	29866	23608.391	16223.338	1722.2126
3.4351724	29866	23558.17	16173.663	1665.2738
3.6372414	29866	23504.743	16120.967	1605.4673
3.8393103	29866	23448.076	16065.238	1542.8238
4.0413793	29866	23388.131	16006.463	1477.3531
4.2434483	29866	23324.872	15944.624	1409.0406
4.4455172	29866	23258.257	15879.7	1337.8436
4.6475862	29866	23188.242	15811.669	1263.6901
4.8496552	29866	23114.782	15740.502	1186.4779
5.0517241	29866	23037.828	15666.17	1106.0768
5.2537931	29866	22957.328	15588.639	1022.3328
5.4558621	29866	22873.226	15507.873	935.0756
5.657931	29866	22785.465	15423.837	844.12874
5.86	29866	22694.004	15336.513	749.34539
