r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	17038	21087.008	30871.326	47619.734
0.18	17038	21135.312	30926.222	47674.719
0.36	17038	21183.679	30981.131	47729.699
0.54	17038	21251.525	31058.034	47806.66
0.72	17038	21341.756	31160.101	47908.732
0.9	17038	21455.486	31288.423	48036.944
1.08	17038	21593.374	31443.533	48191.754
1.26	17038	21755.926	31625.757	48373.392
1.44	17038	21943.599	31835.332	48581.983
1.62	17038	22156.832	32072.449	48817.594
1.8	17038	22396.067	32337.283	49080.255
1.98	17038	22661.748	32629.995	49369.973
2.16	17038	22954.327	32950.745	49686.735
2.34	17038	23274.252	33299.689	50030.516
2.52	17038	23621.969	33676.979	50401.279
2.7	17038	23997.909	34082.767	50798.982
2.88	17038	24402.479	34517.196	51223.577
3.06	17038	24836.049	34980.405	51675.018
3.24	17038	25298.941	35472.523	52153.264
3.42	17038	25791.41	35993.671	52658.288
3.6	17038	26313.635	36543.963	53190.076
3.78	17038	26865.698	37123.503	53748.627
3.96	17038	27447.576	37732.386	54333.944
4.14	17038	28059.127	38370.694	54946.01
4.32	17038	28700.085	39038.479	55584.745
4.5	17038	29370.058	39735.748	56249.947
4.68	17038	30068.525	40462.434	56941.215
4.86	17038	30794.846	41218.366	57657.876
5.04	17038	31548.261	42003.256	58398.968
5.22	17038	32327.71	42816.515	59163.15
