r(x_rel=0.5)	t=0	t=1000	t=2000	t=2360
0	29866	19745.612	7612.6729	3188.8335
0.20206897	29866	19737.661	7601.8457	3179.1521
0.40413793	29866	19729.707	7591.0171	3169.4692
0.6062069	29866	19718.563	7575.8544	3155.9096
0.80827586	29866	19703.768	7555.7358	3137.9165
1.0103448	29866	19685.157	7530.4511	3115.3002
1.2124138	29866	19662.647	7499.9018	3087.9706
1.4144828	29866	19636.179	7464.0315	3055.8747
1.6165517	29866	19605.708	7422.8036	3018.9767
1.8186207	29866	19571.191	7376.1915	2977.2492
2.0206897	29866	19532.583	7324.174	2930.6693
2.2227586	29866	19489.838	7266.7334	2879.2172
2.4248276	29866	19442.905	7203.854	2822.8747
2.6268966	29866	19391.731	7135.5212	2761.6253
2.8289655	29866	19336.256	7061.7211	2695.454
3.0310345	29866	19276.419	6982.4402	2624.3476
3.2331034	29866	19212.153	6897.6652	2548.2952
3.4351724	29866	19143.389	6807.3827	2467.2883
3.6372414	29866	19070.06	6711.58	2381.3222
3.8393103	29866	18992.096	6610.2449	2290.3959
4.0413793	29866	18909.434	6503.367	2194.5135
4.2434483	29866	18822.013	6390.9389	2093.6841
4.4455172	29866	18729.783	6272.9586	1987.9224
4.6475862	29866	18632.705	6149.4324	1877.249
4.8496552	29866	18530.752	6020.3795	1761.6896
5.0517241	29866	18423.912	5885.8374	1641.2737
5.2537931	29866	18312.185	5745.8696	1516.0325
5.4558621	29866	18195.582	5600.5751	1385.9951
5.657931	29866	18074.116	5450.099	1251.1832
5.86	29866	17947.817	5294.6811	1111.636
