r(x_rel=1)	t=0	t=1000	t=2000	t=2360
0	17038	22281.893	36181.158	41410.965
0.18	17038	22348.506	36259.167	41489.886
0.36	17038	22415.224	36337.181	41568.814
0.54	17038	22508.853	36446.412	41679.325
0.72	17038	22633.448	36591.332	41825.945
0.9	17038	22790.606	36773.443	42010.196
1.08	17038	22981.312	36993.446	42232.787
1.26	17038	23206.358	37251.733	42494.115
1.44	17038	23466.474	37548.56	42794.439
1.62	17038	23762.378	37884.112	43133.941
1.8	17038	24094.797	38258.538	43512.768
1.98	17038	24464.465	38671.969	43931.047
2.16	17038	24872.123	39124.53	44388.895
2.34	17038	25318.51	39616.345	44886.43
2.52	17038	25804.355	40147.543	45423.779
2.7	17038	26330.362	40718.264	46001.081
2.88	17038	26897.205	41328.658	46618.502
3.06	17038	27505.512	41978.885	47276.236
3.24	17038	28155.86	42669.117	47974.517
3.42	17038	28848.759	43399.532	48713.631
3.6	17038	29584.647	44170.306	49493.92
3.78	17038	30363.881	44981.601	50315.792
3.96	17038	31186.728	45833.548	51179.722
4.14	17038	32053.36	46726.223	52086.253
4.32	17038	32963.849	47659.623	53035.982
4.5	17038	33918.165	48633.634	54029.54
4.68	17038	34916.179	49648.008	55067.558
4.86	17038	35957.67	50702.335	56150.625
5.04	17038	37042.328	51796.033	57279.246
5.22	17038	38169.481	52928.079	58453.535
