r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	17038	23194.23	38496.838	44224.323
0.18	17038	23267.87	38583.385	44309.376
0.36	17038	23341.582	38669.928	44394.415
0.54	17038	23444.931	38791.076	44513.438
0.72	17038	23582.297	38951.761	44671.271
0.9	17038	23755.314	39153.612	44869.483
1.08	17038	23964.912	39397.353	45108.749
1.26	17038	24211.789	39683.354	45389.388
1.44	17038	24496.564	40011.814	45711.545
1.62	17038	24819.845	40382.837	46075.263
1.8	17038	25182.261	40796.466	46480.518
1.98	17038	25584.472	41252.696	46927.231
2.16	17038	26027.18	41751.485	47415.276
2.34	17038	26511.132	42292.755	47944.482
2.52	17038	27037.114	42876.393	48514.627
2.7	17038	27605.953	43502.247	49125.429
2.88	17038	28218.502	44170.126	49776.543
3.06	17038	28875.641	44879.797	50467.538
3.24	17038	29578.26	45630.989	51197.891
3.42	17038	30327.258	46423.4	51966.963
3.6	17038	31123.537	47256.707	52773.984
3.78	17038	31968.002	48130.588	53618.036
3.96	17038	32861.567	49044.748	54498.034
4.14	17038	33805.17	49998.956	55412.714
4.32	17038	34799.778	50993.074	56360.633
4.5	17038	35846.391	52027.101	57340.163
4.68	17038	36946.014	53101.2	58349.508
4.86	17038	38099.583	54215.717	59386.709
5.04	17038	39307.845	55371.187	60449.643
5.22	17038	40570.917	56568.042	61535.751
