r(x_rel=0.25)	t=0	t=1000	t=2000	t=2360
0	17038	22724.726	37360.561	42893.713
0.18	17038	22795.267	37443.546	42976.595
0.36	17038	22865.895	37526.534	43059.474
0.54	17038	22964.962	37642.726	43175.5
0.72	17038	23096.705	37796.872	43329.4
0.9	17038	23262.743	37990.562	43522.746
1.08	17038	23464.029	38224.526	43756.241
1.26	17038	23701.292	38499.163	44030.258
1.44	17038	23975.189	38814.715	44345.01
1.62	17038	24286.355	39171.342	44700.625
1.8	17038	24635.431	39569.151	45097.177
1.98	17038	25023.068	40008.214	45534.708
2.16	17038	25449.937	40488.581	46013.229
2.34	17038	25916.717	41010.276	46532.732
2.52	17038	26424.101	41573.307	47093.185
2.7	17038	26972.784	42177.662	47694.531
2.88	17038	27563.458	42823.313	48336.688
3.06	17038	28196.805	43510.211	49019.545
3.24	17038	28873.489	44238.294	49742.952
3.42	17038	29594.149	45007.481	50506.718
3.6	17038	30359.388	45817.684	51310.605
3.78	17038	31169.768	46668.813	52154.321
3.96	17038	32025.803	47560.786	53037.523
4.14	17038	32927.953	48493.549	53959.813
4.32	17038	33876.625	49467.094	54920.748
4.5	17038	34872.178	50481.482	55919.855
4.68	17038	35914.936	51536.866	56956.656
4.86	17038	37005.213	52633.501	58030.694
5.04	17038	38143.327	53771.764	59141.561
5.22	17038	39329.305	54951.867	60288.654
