t(s)	total_voltage(V)
0	4.1809414
0.05	3.9942667
0.1	3.9933444
0.2	3.9915423
0.4	3.9881318
0.8	3.982078
1.6	3.9724063
3.2	3.9588517
6.4	3.9417712
12.8	3.9214273
19.2	3.908808
25.6	3.9002006
38.4	3.8885712
51.2	3.8805104
64	3.8741162
76.8	3.8683584
102.4	3.8562283
128	3.8428641
153.6	3.828835
204.8	3.8001204
256	3.7739232
346	3.7354847
436	3.701518
526	3.6655438
616	3.6255866
706	3.5823231
796	3.539174
886	3.500425
976	3.4693053
1000	3.4621319
1090	3.4369626
1180	3.4121252
1270	3.386006
1360	3.358281
1450	3.328984
1540	3.2980497
1630	3.2652722
1720	3.2301546
1810	3.1924635
1900	3.1508505
1990	3.0992422
2000	3.0925028
2090	3.0084925
2180	2.8786376
2270	2.7135388
2360	2.2877882
