r(x_rel=0.75)	t=0	t=1000	t=2000	t=2360
0	17038	22215.136	36099.435	41341.944
0.18	17038	22281.636	36177.524	41421.141
0.36	17038	22348.247	36255.622	41500.346
0.54	17038	22441.737	36364.976	41611.249
0.72	17038	22566.164	36510.068	41758.393
0.9	17038	22723.139	36692.412	41943.311
1.08	17038	22913.663	36912.719	42166.719
1.26	17038	23138.543	37171.393	42429.023
1.44	17038	23398.523	37468.704	42730.49
1.62	17038	23694.339	37804.851	43071.313
1.8	17038	24026.727	38179.997	43451.649
1.98	17038	24396.428	38594.287	43871.635
2.16	17038	24804.186	39047.857	44331.401
2.34	17038	25250.736	39540.842	44831.075
2.52	17038	25736.799	40073.377	45370.793
2.7	17038	26263.067	40645.603	45950.701
2.88	17038	26830.194	41257.67	46570.965
3.06	17038	27438.787	41909.733	47231.775
3.24	17038	28089.391	42601.957	47933.353
3.42	17038	28782.483	43334.513	48675.961
3.6	17038	29518.458	44107.575	49459.907
3.78	17038	30297.62	44921.307	50285.549
3.96	17038	31120.173	45775.857	51153.304
4.14	17038	31986.213	46671.337	52063.643
4.32	17038	32895.72	47607.807	53017.093
4.5	17038	33848.544	48585.25	54014.218
4.68	17038	34844.403	49603.557	55055.611
4.86	17038	35882.873	50662.511	56141.863
5.04	17038	36963.394	51761.778	57273.552
5.22	17038	38085.017	52900.645	58450.947
