r(x_rel=0.5)	t=0	t=1000	t=2000	t=2360
0	17038	22385.247	36539.449	41898.867
0.18	17038	22453.272	36619.436	41979.612
0.36	17038	22521.4	36699.43	42060.361
0.54	17038	22616.999	36811.439	42173.419
0.72	17038	22744.197	36960.051	42323.41
0.9	17038	22904.612	37146.817	42511.887
1.08	17038	23099.226	37372.458	42739.566
1.26	17038	23328.82	37637.385	43006.845
1.44	17038	23594.105	37941.862	43313.976
1.62	17038	23895.775	38286.082	43661.134
1.8	17038	24234.523	38670.194	44048.451
1.98	17038	24611.047	39094.32	44476.036
2.16	17038	25026.05	39558.571	44943.982
2.34	17038	25480.228	40063.043	45452.374
2.52	17038	25974.269	40607.828	46001.294
2.7	17038	26508.841	41193.013	46590.82
2.88	17038	27084.585	41818.681	47221.033
3.06	17038	27702.104	42484.914	47892.016
3.24	17038	28361.958	43191.793	48603.858
3.42	17038	29064.651	43939.396	49356.653
3.6	17038	29810.627	44727.801	50150.506
3.78	17038	30600.258	45557.082	50985.529
3.96	17038	31433.836	46427.308	51861.851
4.14	17038	32311.56	47338.54	52779.615
4.32	17038	33233.53	48290.833	53738.987
4.5	17038	34199.73	49284.234	54740.155
4.68	17038	35210.029	50318.781	55783.342
4.86	17038	36264.184	51394.509	56868.811
5.04	17038	37361.878	52511.453	57996.879
5.22	17038	38502.5	53669.378	59167.655
