r(x_rel=0.75)	t=0	t=1000	t=2000	t=2360
0	29866	18219.201	6332.9952	2940.5061
0.20206897	29866	18208.582	6324.3271	2931.9765
0.40413793	29866	18197.958	6315.6595	2923.4437
0.6062069	29866	18183.076	6303.5261	2911.491
0.80827586	29866	18163.317	6287.4334	2895.6234
1.0103448	29866	18138.468	6267.2191	2875.6686
1.2124138	29866	18108.42	6242.8132	2851.5408
1.4144828	29866	18073.106	6214.1824	2823.1862
1.6165517	29866	18032.478	6181.3133	2790.5656
1.8186207	29866	17986.497	6144.2054	2753.647
2.0206897	29866	17935.133	6102.869	2712.4028
2.2227586	29866	17878.359	6057.3247	2666.8082
2.4248276	29866	17816.153	6007.6038	2616.8409
2.6268966	29866	17748.497	5953.7496	2562.4808
2.8289655	29866	17675.378	5895.819	2503.71
3.0310345	29866	17596.787	5833.8839	2440.5131
3.2331034	29866	17512.718	5768.033	2372.877
3.4351724	29866	17423.166	5698.3738	2300.7908
3.6372414	29866	17328.131	5625.034	2224.2455
3.8393103	29866	17227.609	5548.163	2143.2335
4.0413793	29866	17121.594	5467.9323	2057.7468
4.2434483	29866	17010.075	5384.536	1967.7756
4.4455172	29866	16893.032	5298.1902	1873.3057
4.6475862	29866	16770.434	5209.1307	1774.3145
4.8496552	29866	16642.236	5117.6101	1670.7659
5.0517241	29866	16508.379	5023.8929	1562.6041
5.2537931	29866	16368.788	4928.2481	1449.7443
5.4558621	29866	16223.376	4830.94	1332.0612
5.657931	29866	16072.051	4732.2143	1209.3746
5.86	29866	15914.756	4632.2994	1081.4621
