t(s)	total_current_estimated(A)
0	0
0.05	-7.5
0.1	-7.5
0.2	-7.5
0.4	-7.5
0.8	-7.5
1.6	-7.5
3.2	-7.5
6.4	-7.5
12.8	-7.5
19.2	-7.5
25.6	-7.5
38.4	-7.5
51.2	-7.5
64	-7.5
76.8	-7.5
102.4	-7.5
128	-7.5
153.6	-7.5
204.8	-7.5
256	-7.5
346	-7.5
436	-7.5
526	-7.5
616	-7.5
706	-7.5
796	-7.5
886	-7.5
976	-7.5
1000	-7.5
1090	-7.5
1180	-7.5
1270	-7.5
1360	-7.5
1450	-7.5
1540	-7.5
1630	-7.5
1720	-7.5
1810	-7.5
1900	-7.5
1990	-7.5
2000	-7.5
2090	-7.5
2180	-7.5
2270	-7.5
2360	-7.5
