r(x_rel=1)	t=0	t=1000	t=2000	t=2360
0	17038	22281.923	36181.331	41411.235
0.18	17038	22348.536	36259.341	41490.158
0.36	17038	22415.255	36337.356	41569.088
0.54	17038	22508.885	36446.588	41679.603
0.72	17038	22633.48	36591.509	41826.227
0.9	17038	22790.639	36773.622	42010.483
1.08	17038	22981.347	36993.627	42233.081
1.26	17038	23206.394	37251.917	42494.418
1.44	17038	23466.511	37548.747	42794.751
1.62	17038	23762.417	37884.303	43134.264
1.8	17038	24094.838	38258.733	43513.104
1.98	17038	24464.508	38672.17	43931.397
2.16	17038	24872.169	39124.737	44389.262
2.34	17038	25318.56	39616.559	44886.815
2.52	17038	25804.408	40147.766	45424.185
2.7	17038	26330.419	40718.497	46001.51
2.88	17038	26897.266	41328.903	46618.957
3.06	17038	27505.578	41979.144	47276.718
3.24	17038	28155.932	42669.393	47975.031
3.42	17038	28848.837	43399.827	48714.179
3.6	17038	29584.733	44170.624	49494.505
3.78	17038	30363.976	44981.945	50316.416
3.96	17038	31186.834	45833.921	51180.389
4.14	17038	32053.477	46726.628	52086.964
4.32	17038	32963.98	47660.061	53036.737
4.5	17038	33918.311	48634.107	54030.337
4.68	17038	34916.343	49648.515	55068.394
4.86	17038	35957.854	50702.874	56151.493
5.04	17038	37042.535	51796.599	57280.138
5.22	17038	38169.715	52928.667	58454.438
