r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	29866	21425.399	9268.2602	3593.6653
0.20206897	29866	21415.793	9256.607	3581.634
0.40413793	29866	21406.193	9244.953	3569.6092
0.6062069	29866	21392.762	9228.6353	3552.788
0.80827586	29866	21374.964	9206.9857	3530.4979
1.0103448	29866	21352.631	9179.7781	3502.5298
1.2124138	29866	21325.702	9146.9055	3468.8043
1.4144828	29866	21294.157	9108.3049	3429.2944
1.6165517	29866	21258	9063.9315	3383.9994
1.8186207	29866	21217.251	9013.7475	3332.9337
2.0206897	29866	21171.942	8957.7163	3276.1207
2.2227586	29866	21122.113	8895.799	3213.5899
2.4248276	29866	21067.816	8827.9509	3145.3742
2.6268966	29866	21009.11	8754.1201	3071.5078
2.8289655	29866	20946.063	8674.2452	2992.025
3.0310345	29866	20878.753	8588.2533	2906.9587
3.2331034	29866	20807.267	8496.0586	2816.339
3.4351724	29866	20731.7	8397.5608	2720.1924
3.6372414	29866	20652.157	8292.6436	2618.5412
3.8393103	29866	20568.75	8181.1741	2511.4036
4.0413793	29866	20481.6	8063.0018	2398.794
4.2434483	29866	20390.833	7937.9581	2280.7249
4.4455172	29866	20296.584	7805.8569	2157.2099
4.6475862	29866	20198.988	7666.4945	2028.2688
4.8496552	29866	20098.185	7519.6507	1893.9352
5.0517241	29866	19994.313	7365.0898	1754.2674
5.2537931	29866	19887.507	7202.5606	1609.3646
5.4558621	29866	19777.896	7031.7962	1459.3877
5.657931	29866	19665.601	6852.5106	1304.5889
5.86	29866	19550.753	6664.4414	1145.3841
