r(x_rel=1)	t=0	t=1000	t=2000	t=2360
0	29866	15098.871	5062.9002	2686.3998
0.20206897	29866	15085.804	5057.9817	2678.9899
0.40413793	29866	15072.731	5053.0699	2671.5768
0.6062069	29866	15054.416	5046.2075	2661.1919
0.80827586	29866	15030.1	5037.129	2647.4046
1.0103448	29866	14999.514	5025.7618	2630.0639
1.2124138	29866	14962.521	5012.089	2609.0938
1.4144828	29866	14919.032	4996.1183	2584.4457
1.6165517	29866	14868.974	4977.8702	2556.0831
1.8186207	29866	14812.285	4957.374	2523.9753
2.0206897	29866	14748.903	4934.6643	2488.0945
2.2227586	29866	14678.767	4909.7796	2448.4148
2.4248276	29866	14601.816	4882.7611	2404.9112
2.6268966	29866	14517.988	4853.6507	2357.5598
2.8289655	29866	14427.219	4822.4907	2306.3371
3.0310345	29866	14329.45	4789.3224	2251.22
3.2331034	29866	14224.621	4754.1853	2192.1858
3.4351724	29866	14112.681	4717.1158	2129.2109
3.6372414	29866	13993.586	4678.1468	2062.2704
3.8393103	29866	13867.302	4637.3068	1991.3368
4.0413793	29866	13733.81	4594.6193	1916.377
4.2434483	29866	13593.109	4550.1025	1837.35
4.4455172	29866	13445.219	4503.7695	1754.2024
4.6475862	29866	13290.181	4455.6288	1666.8623
4.8496552	29866	13128.063	4405.6854	1575.2319
5.0517241	29866	12958.959	4353.9426	1479.1768
5.2537931	29866	12782.987	4300.4055	1378.5133
5.4558621	29866	12600.287	4245.0852	1272.9908
5.657931	29866	12411.024	4188.0042	1162.2705
5.86	29866	12215.421	4129.2171	1045.9303
