r(x_rel=0.25)	t=0	t=1000	t=2000	t=2360
0	17038	22724.705	37360.439	42893.524
0.18	17038	22795.245	37443.423	42976.404
0.36	17038	22865.873	37526.412	43059.282
0.54	17038	22964.94	37642.603	43175.305
0.72	17038	23096.682	37796.748	43329.203
0.9	17038	23262.72	37990.436	43522.544
1.08	17038	23464.004	38224.399	43756.035
1.26	17038	23701.266	38499.034	44030.046
1.44	17038	23975.162	38814.584	44344.791
1.62	17038	24286.327	39171.208	44700.398
1.8	17038	24635.401	39569.014	45096.942
1.98	17038	25023.038	40008.074	45534.462
2.16	17038	25449.904	40488.436	46012.972
2.34	17038	25916.682	41010.126	46532.462
2.52	17038	26424.064	41573.151	47092.9
2.7	17038	26972.744	42177.499	47694.23
2.88	17038	27563.415	42823.141	48336.37
3.06	17038	28196.758	43510.03	49019.207
3.24	17038	28873.439	44238.1	49742.592
3.42	17038	29594.094	45007.274	50506.334
3.6	17038	30359.327	45817.461	51310.195
3.78	17038	31169.701	46668.572	52153.884
3.96	17038	32025.729	47560.524	53037.056
4.14	17038	32927.871	48493.265	53959.315
4.32	17038	33876.534	49466.787	54920.218
4.5	17038	34872.076	50481.151	55919.296
4.68	17038	35914.822	51536.511	56956.07
4.86	17038	37005.085	52633.124	58030.084
5.04	17038	38143.182	53771.368	59140.934
5.22	17038	39329.142	54951.455	60288.018
