r(x_rel=1)	t=0	t=1000	t=2000	t=2360
0	17038	22281.954	36181.514	41411.521
0.18	17038	22348.568	36259.524	41490.447
0.36	17038	22415.287	36337.54	41569.379
0.54	17038	22508.917	36446.773	41679.897
0.72	17038	22633.513	36591.695	41826.526
0.9	17038	22790.673	36773.811	42010.789
1.08	17038	22981.382	36993.818	42233.394
1.26	17038	23206.431	37252.111	42494.74
1.44	17038	23466.549	37548.944	42795.083
1.62	17038	23762.457	37884.504	43134.609
1.8	17038	24094.88	38258.939	43513.463
1.98	17038	24464.553	38672.381	43931.771
2.16	17038	24872.216	39124.955	44389.653
2.34	17038	25318.61	39616.785	44887.227
2.52	17038	25804.461	40148.001	45424.618
2.7	17038	26330.477	40718.744	46001.969
2.88	17038	26897.328	41329.162	46619.443
3.06	17038	27505.646	41979.419	47277.235
3.24	17038	28156.006	42669.686	47975.582
3.42	17038	28848.918	43400.142	48714.766
3.6	17038	29584.822	44170.963	49495.133
3.78	17038	30364.074	44982.312	50317.088
3.96	17038	31186.942	45834.319	51181.106
4.14	17038	32053.599	46727.06	52087.729
4.32	17038	32964.115	47660.529	53037.55
4.5	17038	33918.462	48634.613	54031.197
4.68	17038	34916.513	49649.058	55069.296
4.86	17038	35958.046	50703.451	56152.431
5.04	17038	37042.751	51797.207	57281.101
5.22	17038	38169.96	52929.298	58455.414
