r(x_rel=0.25)	t=0	t=1000	t=2000	t=2360
0	17038	22724.683	37360.311	42893.323
0.18	17038	22795.222	37443.295	42976.202
0.36	17038	22865.851	37526.283	43059.078
0.54	17038	22964.917	37642.473	43175.099
0.72	17038	23096.659	37796.617	43328.993
0.9	17038	23262.696	37990.304	43522.33
1.08	17038	23463.979	38224.265	43755.815
1.26	17038	23701.241	38498.898	44029.82
1.44	17038	23975.135	38814.446	44344.558
1.62	17038	24286.299	39171.067	44700.157
1.8	17038	24635.372	39568.869	45096.691
1.98	17038	25023.006	40007.925	45534.2
2.16	17038	25449.871	40488.283	46012.698
2.34	17038	25916.647	41009.967	46532.174
2.52	17038	26424.026	41572.986	47092.596
2.7	17038	26972.703	42177.326	47693.909
2.88	17038	27563.371	42822.959	48336.03
3.06	17038	28196.711	43509.837	49018.845
3.24	17038	28873.387	44237.895	49742.206
3.42	17038	29594.037	45007.054	50505.923
3.6	17038	30359.265	45817.224	51309.755
3.78	17038	31169.632	46668.315	52153.413
3.96	17038	32025.653	47560.245	53036.553
4.14	17038	32927.786	48492.962	53958.778
4.32	17038	33876.439	49466.458	54919.648
4.5	17038	34871.97	50480.797	55918.693
4.68	17038	35914.703	51536.13	56955.436
4.86	17038	37004.951	52632.72	58029.425
5.04	17038	38143.031	53770.943	59140.257
5.22	17038	39328.971	54951.014	60287.33
