r(x_rel=0.25)	t=0	t=1000	t=2000	t=2360
0	29866	20927.749	8815.9051	3474.2855
0.20206897	29866	20918.699	8804.7235	3462.9761
0.40413793	29866	20909.656	8793.5362	3451.6702
0.6062069	29866	20897.01	8777.8617	3435.8495
0.80827586	29866	20880.259	8757.0472	3414.876
1.0103448	29866	20859.252	8730.8605	3388.5452
1.2124138	29866	20833.938	8699.1801	3356.7726
1.4144828	29866	20804.306	8661.9233	3319.5213
1.6165517	29866	20770.37	8619.0222	3276.7772
1.8186207	29866	20732.157	8570.4134	3228.5387
2.0206897	29866	20689.703	8516.0333	3174.8121
2.2227586	29866	20643.055	8455.815	3115.6076
2.4248276	29866	20592.263	8389.6868	3050.9383
2.6268966	29866	20537.385	8317.571	2980.8184
2.8289655	29866	20478.482	8239.3835	2905.2622
3.0310345	29866	20415.619	8155.0326	2824.2834
3.2331034	29866	20348.862	8064.419	2737.8946
3.4351724	29866	20278.277	7967.4357	2646.1069
3.6372414	29866	20203.931	7863.9673	2548.9302
3.8393103	29866	20125.887	7753.89	2446.3736
4.0413793	29866	20044.204	7637.0715	2338.4467
4.2434483	29866	19958.937	7513.3705	2225.1617
4.4455172	29866	19870.13	7382.6362	2106.5365
4.6475862	29866	19777.82	7244.7073	1982.599
4.8496552	29866	19682.035	7099.4113	1853.3937
5.0517241	29866	19582.788	6946.5619	1718.99
5.2537931	29866	19480.088	6785.9571	1579.4938
5.4558621	29866	19373.932	6617.3757	1435.0625
5.657931	29866	19264.319	6440.5731	1285.9239
5.86	29866	19151.278	6255.3264	1132.4343
