t(s)	total_current_estimated(A)
0	0
0.05	-7.5
0.1	-7.5
0.2	-7.5
0.4	-7.5
0.8	-7.5
1.6	-7.5
3.2	-7.5
6.4	-7.5
12.8	-7.5
19.2	-7.5
25.6	-7.5
35.6	-7.5
45.6	-7.5
55.6	-7.5
65.6	-7.5
75.6	-7.5
85.6	-7.5
95.6	-7.5
105.6	-7.5
115.6	-7.5
125.6	-7.5
135.6	-7.5
145.6	-7.5
155.6	-7.5
165.6	-7.5
175.6	-7.5
185.6	-7.5
195.6	-7.5
205.6	-7.5
215.6	-7.5
225.6	-7.5
235.6	-7.5
245.6	-7.5
255.6	-7.5
265.6	-7.5
275.6	-7.5
285.6	-7.5
295.6	-7.5
305.6	-7.5
315.6	-7.5
325.6	-7.5
335.6	-7.5
345.6	-7.5
355.6	-7.5
365.6	-7.5
375.6	-7.5
385.6	-7.5
395.6	-7.5
405.6	-7.5
415.6	-7.5
425.6	-7.5
435.6	-7.5
445.6	-7.5
455.6	-7.5
465.6	-7.5
475.6	-7.5
485.6	-7.5
495.6	-7.5
505.6	-7.5
515.6	-7.5
525.6	-7.5
535.6	-7.5
545.6	-7.5
555.6	-7.5
565.6	-7.5
575.6	-7.5
585.6	-7.5
595.6	-7.5
605.6	-7.5
615.6	-7.5
625.6	-7.5
635.6	-7.5
645.6	-7.5
655.6	-7.5
665.6	-7.5
675.6	-7.5
685.6	-7.5
695.6	-7.5
705.6	-7.5
715.6	-7.5
725.6	-7.5
735.6	-7.5
745.6	-7.5
755.6	-7.5
765.6	-7.5
775.6	-7.5
785.6	-7.5
795.6	-7.5
805.6	-7.5
815.6	-7.5
825.6	-7.5
835.6	-7.5
845.6	-7.5
855.6	-7.5
865.6	-7.5
875.6	-7.5
885.6	-7.5
895.6	-7.5
905.6	-7.5
915.6	-7.5
925.6	-7.5
935.6	-7.5
945.6	-7.5
955.6	-7.5
965.6	-7.5
975.6	-7.5
985.6	-7.5
995.6	-7.5
1000	-7.5
1010	-7.5
1020	-7.5
1030	-7.5
1040	-7.5
1050	-7.5
1060	-7.5
1070	-7.5
1080	-7.5
1090	-7.5
1100	-7.5
1110	-7.5
1120	-7.5
1130	-7.5
1140	-7.5
1150	-7.5
1160	-7.5
1170	-7.5
1180	-7.5
1190	-7.5
1200	-7.5
1210	-7.5
1220	-7.5
1230	-7.5
1240	-7.5
1250	-7.5
1260	-7.5
1270	-7.5
1280	-7.5
1290	-7.5
1300	-7.5
1310	-7.5
1320	-7.5
1330	-7.5
1340	-7.5
1350	-7.5
1360	-7.5
1370	-7.5
1380	-7.5
1390	-7.5
1400	-7.5
1410	-7.5
1420	-7.5
1430	-7.5
1440	-7.5
1450	-7.5
1460	-7.5
1470	-7.5
1480	-7.5
1490	-7.5
1500	-7.5
1510	-7.5
1520	-7.5
1530	-7.5
1540	-7.5
1550	-7.5
1560	-7.5
1570	-7.5
1580	-7.5
1590	-7.5
1600	-7.5
1610	-7.5
1620	-7.5
1630	-7.5
1640	-7.5
1650	-7.5
1660	-7.5
1670	-7.5
1680	-7.5
1690	-7.5
1700	-7.5
1710	-7.5
1720	-7.5
1730	-7.5
1740	-7.5
1750	-7.5
1760	-7.5
1770	-7.5
1780	-7.5
1790	-7.5
1800	-7.5
1810	-7.5
1820	-7.5
1830	-7.5
1840	-7.5
1850	-7.5
1860	-7.5
1870	-7.5
1880	-7.5
1890	-7.5
1900	-7.5
1910	-7.5
1920	-7.5
1930	-7.5
1940	-7.5
1950	-7.5
1960	-7.5
1970	-7.5
1980	-7.5
1990	-7.5
2000	-7.5
2010	-7.5
2020	-7.5
2030	-7.5
2040	-7.5
2050	-7.5
2060	-7.5
2070	-7.5
2080	-7.5
2090	-7.5
2100	-7.5
2110	-7.5
2120	-7.5
2130	-7.5
2140	-7.5
2150	-7.5
2160	-7.5
2170	-7.5
2180	-7.5
2190	-7.5
2200	-7.5
2210	-7.5
2220	-7.5
2230	-7.5
2240	-7.5
2250	-7.5
2260	-7.5
2270	-7.5
2280	-7.5
2290	-7.5
2300	-7.5
2310	-7.5
2320	-7.5
2330	-7.5
