t(s)	total_voltage(V)
0	4.0153246
0.1	3.961979
0.3	3.9573178
0.7	3.9490413
1.5	3.9360329
3.1	3.918563
6.3	3.8981255
12.7	3.876134
19.1	3.8632591
25.5	3.8537476
31.9	3.8453846
38.3	3.837438
51.1	3.8216866
63.9	3.8060161
76.7	3.7908861
102.3	3.7614896
127.9	3.7355997
179.1	3.6941934
230.3	3.6615667
281.5	3.6306576
332.7	3.5971572
383.9	3.5604489
435.1	3.5226084
486.3	3.486277
537.5	3.4531163
588.7	3.4242152
639.9	3.3997544
691.1	3.3785458
742.3	3.3589854
793.5	3.3391739
844.7	3.3177056
895.9	3.2946163
985.9	3.2505718
1000	3.2432215
1090	3.1945479
1180	3.1438327
1270	3.0909064
1360	3.0321629
1450	2.959017
1540	2.8411245
1562.5	2.7969539
1585	2.7495071
1607.5	2.7038118
1630	2.6586224
1652.5	2.6066467
1675	2.5382559
