t(s)	total_voltage(V)
2930	3.7025463
2940	3.7012175
2950	3.6998888
2960	3.6985601
2970	3.6972314
2980	3.6959028
2990	3.6945741
3000	3.6932455
3010	3.691917
3020	3.6905886
3030	3.6892604
3040	3.6879325
3050	3.6866049
3060	3.6852779
3070	3.6839514
3080	3.6826257
3090	3.6813008
3100	3.6799769
3110	3.6786542
3120	3.6773329
3130	3.676013
3140	3.6746947
3150	3.6733784
3160	3.672064
3170	3.6707518
3180	3.6694421
3190	3.6681349
3200	3.6668304
3210	3.6655289
3220	3.6642306
3230	3.6629356
3240	3.661644
3250	3.6603562
3260	3.6590722
3270	3.6577923
3280	3.6565166
3290	3.6552453
3300	3.6539785
3310	3.6527165
3320	3.6514593
3330	3.6502071
3340	3.64896
3350	3.6477183
3360	3.6464819
3370	3.6452511
3380	3.6440259
3390	3.6428065
3400	3.6415929
3410	3.6403853
3420	3.6391836
3430	3.6379881
3440	3.6367987
3450	3.6356156
3460	3.6344387
3470	3.6332681
3480	3.6321039
3490	3.6309461
3500	3.6297947
3510	3.6286497
3520	3.6275112
3530	3.6263791
3540	3.6252533
3550	3.624134
3560	3.6230211
3570	3.6219145
3580	3.6208142
3590	3.6197202
3600	3.6186324
3610	3.6175508
3620	3.6164752
3630	3.6154058
3640	3.6143422
3650	3.6132846
3660	3.6122328
3670	3.6111867
3680	3.6101462
3690	3.6091113
3700	3.6080818
3710	3.6070576
3720	3.6060387
3730	3.6050249
3740	3.6040161
3750	3.6030122
3760	3.6020131
3770	3.6010186
3780	3.6000287
3790	3.5990432
3800	3.5980619
3810	3.5970848
3820	3.5961117
3830	3.5951425
3840	3.594177
3850	3.5932152
3860	3.5922568
3870	3.5913018
3880	3.59035
3890	3.5894013
3900	3.5884556
3910	3.5875126
3920	3.5865723
3930	3.5856346
3940	3.5846992
3950	3.5837661
3960	3.5828351
3970	3.5819061
3980	3.580979
3990	3.5800536
4000	3.5791298
4010	3.5782074
4020	3.5772864
4030	3.5763666
4040	3.5754479
4050	3.5745301
4060	3.5736131
4070	3.5726968
4080	3.5717811
4090	3.5708659
4100	3.5699509
4110	3.5690362
4120	3.5681216
4130	3.5672069
4140	3.5662921
4150	3.5653771
4160	3.5644616
4170	3.5635457
4180	3.5626292
4190	3.5617119
4200	3.5607939
4210	3.5598749
4220	3.5589548
4230	3.5580336
4240	3.5571112
4250	3.5561874
4260	3.5552621
4270	3.5543352
4280	3.5534066
4290	3.5524763
4300	3.551544
4310	3.5506098
4320	3.5496735
4330	3.5487349
4340	3.547794
4350	3.5468507
4360	3.5459049
4370	3.5449565
4380	3.5440053
4390	3.5430512
4400	3.5420942
4410	3.5411342
4420	3.540171
4430	3.5392045
4440	3.5382346
4450	3.5372612
4460	3.5362842
4470	3.5353034
4480	3.5343189
4490	3.5333303
4500	3.5323377
4510	3.5313408
4520	3.5303397
4530	3.5293341
4540	3.5283239
4550	3.527309
4560	3.5262893
4570	3.5252647
4580	3.524235
4590	3.5232
4600	3.5221597
4610	3.5211139
4620	3.5200625
4630	3.5190053
4640	3.5179422
4650	3.5168731
4660	3.5157978
4670	3.5147161
4680	3.513628
4690	3.5125332
4700	3.5114317
4710	3.5103232
4720	3.5092077
4730	3.5080851
4740	3.506955
4750	3.5058175
4760	3.5046724
4770	3.5035194
4780	3.5023586
4790	3.5011898
4800	3.5000128
4810	3.4988276
4820	3.497634
4830	3.4964319
4840	3.4952212
4850	3.4940018
4860	3.4927736
4870	3.4915366
4880	3.4902907
4890	3.4890359
4900	3.4877721
4910	3.4864992
4920	3.4852174
4930	3.4839265
4940	3.4826266
4950	3.4813179
4960	3.4800002
4970	3.4786737
4980	3.4773386
4990	3.4759948
5000	3.4746427
