t(s)	total_current_estimated(A)
0	0
0.0015625	-20
0.00234375	-20
0.00390625	-20
0.00703125	-20
0.01328125	-20
0.02578125	-20
0.05078125	-20
0.10078125	-20
0.20078125	-20
0.40078125	-20
0.80078125	-20
1.6007813	-20
3.2007813	-20
4.8007812	-20
8.0007812	-20
11.200781	-20
14.400781	-20
17.600781	-20
20.800781	-20
24.000781	-20
27.200781	-20
30.400781	-20
33.600781	-20
36.800781	-20
40.000781	-20
43.200781	-20
44.800781	-20
46.400781	-20
48.000781	-20
49.600781	-20
51.200781	-20
52.800781	-20
54.400781	-20
56.000781	-20
57.600781	-20
59.200781	-20
60.800781	-20
62.400781	-20
62.600781	-20
63.000781	-20
63.400781	-20
63.800781	-20
64.200781	-20
64.600781	-20
65.000781	-20
65.400781	-20
65.800781	-20
66.200781	-20
66.600781	-20
67.000781	-20
67.400781	-20
67.800781	-20
68.200781	-20
68.600781	-20
69.000781	-20
69.400781	-20
69.800781	-20
70.200781	-20
70.600781	-20
70.800781	-20
70.850781	-20
70.863281	-20
70.869531	-20
70.870313	-20
70.870703	-20
70.870898	-20
70.870947	-20
