t(s)	total_current_estimated(A)
0	0
0.1	-2.5
0.15	-2.5
0.25	-2.5
0.45	-2.5
0.85	-2.5
1.65	-2.5
3.25	-2.5
6.45	-2.5
12.85	-2.5
22.85	-2.5
32.85	-2.5
42.85	-2.5
52.85	-2.5
62.85	-2.5
72.85	-2.5
82.85	-2.5
92.85	-2.5
102.85	-2.5
112.85	-2.5
122.85	-2.5
132.85	-2.5
142.85	-2.5
152.85	-2.5
162.85	-2.5
172.85	-2.5
182.85	-2.5
192.85	-2.5
202.85	-2.5
212.85	-2.5
222.85	-2.5
232.85	-2.5
242.85	-2.5
252.85	-2.5
262.85	-2.5
272.85	-2.5
282.85	-2.5
292.85	-2.5
302.85	-2.5
312.85	-2.5
322.85	-2.5
332.85	-2.5
342.85	-2.5
352.85	-2.5
362.85	-2.5
372.85	-2.5
382.85	-2.5
392.85	-2.5
402.85	-2.5
412.85	-2.5
422.85	-2.5
432.85	-2.5
442.85	-2.5
452.85	-2.5
462.85	-2.5
472.85	-2.5
482.85	-2.5
492.85	-2.5
502.85	-2.5
512.85	-2.5
522.85	-2.5
532.85	-2.5
542.85	-2.5
552.85	-2.5
562.85	-2.5
572.85	-2.5
582.85	-2.5
592.85	-2.5
602.85	-2.5
612.85	-2.5
622.85	-2.5
632.85	-2.5
642.85	-2.5
652.85	-2.5
662.85	-2.5
672.85	-2.5
682.85	-2.5
692.85	-2.5
702.85	-2.5
712.85	-2.5
722.85	-2.5
732.85	-2.5
742.85	-2.5
752.85	-2.5
762.85	-2.5
772.85	-2.5
782.85	-2.5
792.85	-2.5
802.85	-2.5
812.85	-2.5
822.85	-2.5
832.85	-2.5
842.85	-2.5
852.85	-2.5
862.85	-2.5
872.85	-2.5
882.85	-2.5
892.85	-2.5
902.85	-2.5
912.85	-2.5
922.85	-2.5
932.85	-2.5
942.85	-2.5
952.85	-2.5
962.85	-2.5
972.85	-2.5
982.85	-2.5
992.85	-2.5
1000	-2.5
1010	-2.5
1020	-2.5
1030	-2.5
1040	-2.5
1050	-2.5
1060	-2.5
1070	-2.5
1080	-2.5
1090	-2.5
1100	-2.5
1110	-2.5
1120	-2.5
1130	-2.5
1140	-2.5
1150	-2.5
1160	-2.5
1170	-2.5
1180	-2.5
1190	-2.5
1200	-2.5
1210	-2.5
1220	-2.5
1230	-2.5
1240	-2.5
1250	-2.5
1260	-2.5
1270	-2.5
1280	-2.5
1290	-2.5
1300	-2.5
1310	-2.5
1320	-2.5
1330	-2.5
1340	-2.5
1350	-2.5
1360	-2.5
1370	-2.5
1380	-2.5
1390	-2.5
1400	-2.5
1410	-2.5
1420	-2.5
1430	-2.5
1440	-2.5
1450	-2.5
1460	-2.5
1470	-2.5
1480	-2.5
1490	-2.5
1500	-2.5
1510	-2.5
1520	-2.5
1530	-2.5
1540	-2.5
1550	-2.5
1560	-2.5
1570	-2.5
1580	-2.5
1590	-2.5
1600	-2.5
1610	-2.5
1620	-2.5
