t(s)	total_voltage(V)
0	4.1809414
0.05	3.9629732
0.1	3.9617473
0.2	3.9593557
0.4	3.9548448
0.8	3.9468991
1.6	3.9344178
3.2	3.9175055
6.4	3.8974299
12.8	3.8755797
19.2	3.8627088
25.6	3.853164
32	3.8447546
38.4	3.8367551
48.4	3.8244009
58.4	3.8121436
68.4	3.8001443
78.4	3.788375
88.4	3.7768251
98.4	3.7656422
108.4	3.7550118
118.4	3.7449671
128.4	3.7354467
138.4	3.7264477
148.4	3.7180014
158.4	3.710063
168.4	3.7025348
178.4	3.6953603
188.4	3.6885177
198.4	3.6819519
208.4	3.6755757
218.4	3.6693201
228.4	3.6631438
238.4	3.6570034
248.4	3.6508494
258.4	3.644648
268.4	3.6383847
278.4	3.6320479
288.4	3.6256216
298.4	3.6190948
308.4	3.6124659
318.4	3.6057356
328.4	3.5989019
338.4	3.5919644
348.4	3.58493
358.4	3.5778079
368.4	3.5706044
378.4	3.5633275
388.4	3.5559916
398.4	3.5486137
408.4	3.5412072
418.4	3.5337864
428.4	3.5263724
438.4	3.5189885
448.4	3.5116529
458.4	3.5043832
468.4	3.4972028
478.4	3.4901353
488.4	3.483197
498.4	3.4764013
508.4	3.4697644
518.4	3.4633009
528.4	3.4570166
538.4	3.4509134
548.4	3.4449947
558.4	3.4392617
568.4	3.4337093
578.4	3.4283292
588.4	3.4231152
598.4	3.4180608
608.4	3.4131557
618.4	3.4083885
628.4	3.4037505
638.4	3.3992341
648.4	3.3948308
658.4	3.3905322
668.4	3.3863324
678.4	3.3822261
688.4	3.3782054
698.4	3.37426
708.4	3.3703775
718.4	3.3665438
728.4	3.3627422
738.4	3.3589552
748.4	3.355166
758.4	3.3513601
768.4	3.3475243
778.4	3.3436473
788.4	3.33972
798.4	3.3357359
808.4	3.3316899
818.4	3.3275781
828.4	3.3233977
838.4	3.3191475
848.4	3.3148269
858.4	3.3104357
868.4	3.3059741
878.4	3.301443
888.4	3.2968437
898.4	3.2921773
908.4	3.2874451
918.4	3.2826487
928.4	3.2777902
938.4	3.2728722
948.4	3.2678964
958.4	3.2628662
968.4	3.2577835
978.4	3.2526483
988.4	3.2474622
998.4	3.2422286
1000	3.241387
1010	3.2361006
1020	3.2307702
1030	3.2253976
1040	3.2199854
1050	3.2145363
1060	3.2090532
1070	3.2035384
1080	3.1979942
1090	3.1924235
1100	3.1868287
1110	3.1812119
1120	3.1755749
1130	3.1699195
1140	3.1642467
1150	3.1585574
1160	3.1528511
1170	3.1471271
1180	3.141384
1190	3.1356224
1200	3.1298399
1210	3.1240373
1220	3.1182109
1230	3.1123503
1240	3.1064477
1250	3.1005014
1260	3.0945069
1270	3.0884535
1280	3.0823349
1290	3.0761514
1300	3.0698998
1310	3.0635707
1320	3.0571558
1330	3.050647
1340	3.044029
1350	3.0372788
1360	3.0303705
1370	3.0232751
1380	3.0159593
1390	3.0083873
1400	3.0005241
1410	2.9923358
1420	2.9837896
1430	2.9748548
1440	2.965492
1450	2.9556567
1460	2.9453097
1470	2.9344099
1480	2.9228937
1490	2.9106735
1500	2.8976485
1510	2.8836886
1520	2.8686144
1530	2.8522208
1540	2.8343533
1550	2.8150804
