t(s)	total_voltage(V)
2930	4.0746699
2940	4.0746213
2950	4.0745729
2960	4.0745246
2970	4.0744765
2980	4.0744285
2990	4.0743807
3000	4.0743329
3010	4.0742852
3020	4.0742377
3030	4.0741902
3040	4.0741427
3050	4.0740953
3060	4.074048
3070	4.0740007
3080	4.0739534
3090	4.0739061
3100	4.0738589
3110	4.0738116
3120	4.0737643
3130	4.073717
3140	4.0736697
3150	4.0736223
3160	4.0735748
3170	4.0735273
3180	4.0734797
3190	4.073432
3200	4.0733842
3210	4.0733363
3220	4.0732883
3230	4.0732401
3240	4.0731919
3250	4.0731435
3260	4.0730949
3270	4.0730462
3280	4.0729972
3290	4.0729481
3300	4.0728989
3310	4.0728494
3320	4.0727997
3330	4.0727498
3340	4.0726996
3350	4.0726493
3360	4.0725986
3370	4.0725478
3380	4.0724966
3390	4.0724452
3400	4.0723935
3410	4.0723415
3420	4.0722892
3430	4.0722366
3440	4.0721837
3450	4.0721305
3460	4.0720769
3470	4.072023
3480	4.0719688
3490	4.0719141
3500	4.0718592
3510	4.0718038
3520	4.0717481
3530	4.0716919
3540	4.0716354
3550	4.0715785
3560	4.0715211
3570	4.0714634
3580	4.0714052
3590	4.0713465
3600	4.0712874
3610	4.0712279
3620	4.0711679
3630	4.0711074
3640	4.0710465
3650	4.0709851
3660	4.0709231
3670	4.0708607
3680	4.0707978
3690	4.0707344
3700	4.0706704
3710	4.0706059
3720	4.0705409
3730	4.0704754
3740	4.0704093
3750	4.0703426
3760	4.0702754
3770	4.0702077
3780	4.0701393
3790	4.0700704
3800	4.0700008
3810	4.0699307
3820	4.0698601
3830	4.0697887
3840	4.0697168
3850	4.0696443
3860	4.0695711
3870	4.0694973
3880	4.0694229
3890	4.0693478
3900	4.0692721
3910	4.0691958
3920	4.0691188
3930	4.0690411
3940	4.0689627
3950	4.0688837
3960	4.068804
3970	4.0687237
3980	4.0686426
3990	4.0685608
4000	4.0684784
4010	4.0683953
4020	4.0683114
4030	4.0682268
4040	4.0681415
4050	4.0680555
4060	4.0679688
4070	4.0678814
4080	4.0677931
4090	4.0677042
4100	4.0676146
4110	4.0675242
4120	4.067433
4130	4.0673411
4140	4.0672484
4150	4.067155
4160	4.0670608
4170	4.0669659
4180	4.0668701
4190	4.0667737
4200	4.0666764
4210	4.0665783
4220	4.0664795
4230	4.0663799
4240	4.0662795
4250	4.0661783
4260	4.0660763
4270	4.0659735
4280	4.0658699
4290	4.0657655
4300	4.0656603
4310	4.0655543
4320	4.0654476
4330	4.0653399
4340	4.0652315
4350	4.0651222
4360	4.0650122
4370	4.0649013
4380	4.0647896
4390	4.0646771
4400	4.0645638
4410	4.0644496
4420	4.0643346
4430	4.0642188
4440	4.0641022
4450	4.0639847
4460	4.0638663
4470	4.0637472
4480	4.0636273
4490	4.0635065
4500	4.0633848
4510	4.0632623
4520	4.063139
4530	4.0630148
4540	4.0628898
4550	4.062764
4560	4.0626373
4570	4.0625098
4580	4.0623814
4590	4.0622522
4600	4.0621222
4610	4.0619914
4620	4.0618596
4630	4.061727
4640	4.0615937
4650	4.0614594
4660	4.0613243
4670	4.0611884
4680	4.0610516
4690	4.060914
4700	4.0607756
4710	4.0606363
4720	4.0604962
4730	4.0603552
4740	4.0602134
4750	4.0600707
4760	4.0599273
4770	4.059783
4780	4.0596378
4790	4.0594918
4800	4.059345
4810	4.0591974
4820	4.0590489
4830	4.0588996
4840	4.0587494
4850	4.0585985
4860	4.0584467
4870	4.0582941
4880	4.0581406
4890	4.0579864
4900	4.0578313
4910	4.0576754
4920	4.0575187
4930	4.0573612
4940	4.0572028
4950	4.0570436
4960	4.0568837
4970	4.0567229
4980	4.0565613
4990	4.0563989
5000	4.0562357
5010	4.0560717
5020	4.055907
5030	4.0557414
5040	4.055575
5050	4.0554078
5060	4.0552398
5070	4.0550711
5080	4.0549016
5090	4.0547312
5100	4.0545601
5110	4.0543883
5120	4.0542156
5130	4.0540422
5140	4.053868
5150	4.053693
5160	4.0535173
5170	4.0533408
5180	4.0531635
5190	4.0529855
5200	4.0528067
5210	4.0526272
5220	4.0524469
5230	4.0522659
5240	4.0520842
5250	4.0519016
5260	4.0517184
5270	4.0515344
5280	4.0513498
5290	4.0511643
5300	4.0509781
5310	4.0507912
5320	4.0506037
5330	4.0504154
5340	4.0502263
5350	4.0500366
5360	4.0498461
5370	4.049655
5380	4.0494631
5390	4.0492706
5400	4.0490773
5410	4.0488834
5420	4.0486888
5430	4.0484935
5440	4.0482975
5450	4.0481008
5460	4.0479035
5470	4.0477055
5480	4.0475069
5490	4.0473075
5500	4.0471075
5510	4.0469069
5520	4.0467056
5530	4.0465037
5540	4.0463011
5550	4.0460979
5560	4.045894
5570	4.0456895
5580	4.0454844
5590	4.0452787
5600	4.0450723
5610	4.0448653
5620	4.0446577
5630	4.0444495
5640	4.0442406
5650	4.0440312
5660	4.0438212
5670	4.0436106
5680	4.0433994
5690	4.0431876
5700	4.0429752
5710	4.0427622
5720	4.0425487
5730	4.0423345
5740	4.0421199
5750	4.0419046
5760	4.0416888
5770	4.0414724
5780	4.0412555
5790	4.0410381
5800	4.04082
5810	4.0406015
5820	4.0403824
5830	4.0401628
5840	4.0399426
5850	4.039722
5860	4.0395008
5870	4.039279
5880	4.0390568
5890	4.0388341
5900	4.0386108
5910	4.0383871
5920	4.0381629
5930	4.0379381
5940	4.0377129
5950	4.0374872
5960	4.037261
5970	4.0370343
5980	4.0368072
5990	4.0365796
6000	4.0363515
6010	4.036123
6020	4.035894
6030	4.0356646
6040	4.0354347
6050	4.0352044
6060	4.0349736
6070	4.0347424
6080	4.0345107
6090	4.0342787
6100	4.0340461
6110	4.0338132
6120	4.0335799
6130	4.0333462
6140	4.033112
6150	4.0328774
6160	4.0326425
6170	4.0324071
6180	4.0321714
6190	4.0319352
6200	4.0316987
6210	4.0314618
6220	4.0312245
6230	4.0309868
6240	4.0307488
6250	4.0305104
6260	4.0302717
