t(s)	total_voltage(V)
0	4.1809414
0.025	3.9071757
0.05	3.9062476
0.1	3.9044145
0.2	3.9008533
0.4	3.894193
0.8	3.8826867
1.6	3.8653777
3.2	3.8439379
6.4	3.8219891
9.6	3.8093091
16	3.7882187
22.4	3.7654118
28.8	3.7404315
35.2	3.7136995
41.6	3.6854847
48	3.656709
54.4	3.6286664
60.8	3.6020634
67.2	3.5770413
73.6	3.5538494
80	3.5326099
86.4	3.5127894
92.8	3.4936297
99.2	3.474695
105.6	3.4558065
112	3.4368681
118.4	3.4178057
124.8	3.3986181
131.2	3.3795408
137.6	3.3609373
144	3.3429663
150.4	3.3255959
156.8	3.3088329
163.2	3.2926934
169.6	3.2770781
176	3.2618393
182.4	3.246895
188.8	3.2322198
195.2	3.2177905
201.6	3.2035702
208	3.1895169
214.4	3.1756135
220.8	3.161885
227.2	3.1483487
233.6	3.1349666
240	3.1217062
246.4	3.1086057
252.8	3.0957007
259.2	3.0829418
265.6	3.0702768
272	3.0577424
275.2	3.0515368
278.4	3.0453579
280	3.0422768
281.6	3.0392005
282.4	3.0376641
282.6	3.0372802
282.7	3.0370882
282.70625	3.0370762
282.70781	3.0370732
282.70859	3.0370717
282.70879	3.0370714
282.70889	3.0370712
282.70894	3.0370711
282.70896	3.037071
