t(s)	total_current(A)
0	-2.5
0.1	-2.5
0.3	-2.5
0.7	-2.5
1.5	-2.5
3.1	-2.5
6.3	-2.5
12.7	-2.5
25.5	-2.5
51.1	-2.5
102.3	-2.5
153.5	-2.5
204.7	-2.5
255.9	-2.5
345.9	-2.5
435.9	-2.5
525.9	-2.5
615.9	-2.5
705.9	-2.5
795.9	-2.5
885.9	-2.5
975.9	-2.5
1000	-2.5
1090	-2.5
1180	-2.5
1270	-2.5
1360	-2.5
1450	-2.5
1540	-2.5
1630	-2.5
1720	-2.5
1810	-2.5
1900	-2.5
1990	-2.5
2000	-2.5
2090	-2.5
2180	-2.5
2270	-2.5
2360	-2.5
2450	-2.5
2540	-2.5
2630	-2.5
2720	-2.5
2810	-2.5
2900	-2.5
2990	-2.5
3080	-2.5
3170	-2.5
3260	-2.5
3350	-2.5
3440	-2.5
3530	-2.5
3620	-2.5
3710	-2.5
3800	-2.5
3890	-2.5
3980	-2.5
4000	-2.5
4090	-2.5
4180	-2.5
4270	-2.5
4360	-2.5
4450	-2.5
4540	-2.5
4630	-2.5
4720	-2.5
4810	-2.5
4900	-2.5
4990	-2.5
5080	-2.5
5170	-2.5
5260	-2.5
5350	-2.5
5440	-2.5
5530	-2.5
5620	-2.5
5710	-2.5
5800	-2.5
5890	-2.5
5980	-2.5
6070	-2.5
6160	-2.5
6250	-2.5
6340	-2.5
6430	-2.5
6520	-2.5
6610	-2.5
6700	-2.5
6790	-2.5
6880	-2.5
6970	-2.5
7060	-2.5
7150	-2.5
7240	-2.5
