t(s)	jtot_cons
0	0
100	0.16639497
200	0.14139439
400	0.12161174
800	0.27719329
1000	0.46385832
1200	0.55564934
1400	0.31751485
1600	0.21146466
2000	0.44161364
2100	0.52905582
2200	0.61871659
2300	0.71231554
2400	0.80551707
2500	0.86970669
3600	-0.44048857
3660	-0.24409781
4000	-0.18984781
4100	-0.10787424
4200	-0.16488346
4400	-0.32960978
4800	-0.093998106
4900	-0.022790813
5000	0.021003484
5100	0.011737605
5200	-0.1133784
5300	-0.21254711
5400	-0.25370606
5500	-0.2697497
5600	-0.28221892
5700	-0.29932768
5800	-0.32429049
5900	-0.35933847
6000	-0.40507891
6090	-0.44432297
