r(x_rel=0.25)	t=0	t=1000	t=1665
0	17038	24880.008	38256.269
0.18	17038	24976.539	38372.607
0.36	17038	25073.246	38488.979
0.54	17038	25209.008	38651.973
0.72	17038	25389.747	38868.32
0.9	17038	25617.838	39140.345
1.08	17038	25894.764	39469.198
1.26	17038	26221.717	39855.589
1.44	17038	26599.785	40300.045
1.62	17038	27030.015	40803.01
1.8	17038	27513.434	41364.894
1.98	17038	28051.07	41986.108
2.16	17038	28643.951	42667.074
2.34	17038	29293.121	43408.245
2.52	17038	29999.639	44210.102
2.7	17038	30764.586	45073.155
2.88	17038	31589.046	45997.919
3.06	17038	32474.094	46984.87
3.24	17038	33420.767	48034.358
3.42	17038	34430.039	49146.469
3.6	17038	35502.812	50320.803
3.78	17038	36639.91	51556.16
3.96	17038	37842.103	52850.133
4.14	17038	39110.139	54198.613
4.32	17038	40444.785	55595.299
4.5	17038	41846.867	57031.347
4.68	17038	43317.31	58495.348
4.86	17038	44857.167	59973.732
5.04	17038	46467.695	61451.181
5.22	17038	48150.04	62909.259
