r(x_rel=1)	t=0	t=1000	t=1665
0	29866	9818.7263	3756.2799
0.20206897	29866	9808.4759	3749.5983
0.40413793	29866	9798.2283	3742.9045
0.6062069	29866	9783.8871	3733.5072
0.80827586	29866	9764.8723	3720.9953
1.0103448	29866	9740.9959	3705.2022
1.2124138	29866	9712.1776	3686.0203
1.4144828	29866	9678.3798	3663.359
1.6165517	29866	9639.5867	3637.1306
1.8186207	29866	9595.7965	3607.2454
2.0206897	29866	9547.0201	3573.6094
2.2227586	29866	9493.2817	3536.1245
2.4248276	29866	9434.6204	3494.6886
2.6268966	29866	9371.0932	3449.1974
2.8289655	29866	9302.7769	3399.5457
3.0310345	29866	9229.7688	3345.6299
3.2331034	29866	9152.1861	3287.3498
3.4351724	29866	9070.1628	3224.6115
3.6372414	29866	8983.8446	3157.3296
3.8393103	29866	8893.3815	3085.4288
4.0413793	29866	8798.9197	3008.8451
4.2434483	29866	8700.593	2927.5256
4.4455172	29866	8598.5156	2841.4266
4.6475862	29866	8492.7775	2750.5097
4.8496552	29866	8383.4437	2654.7353
5.0517241	29866	8270.5571	2554.0549
5.2537931	29866	8154.1455	2448.4025
5.4558621	29866	8034.2312	2337.688
5.657931	29866	7910.8404	2221.7996
5.86	29866	7784.0379	2100.6548
