r(x_rel=0.75)	t=0	t=1000	t=1665
0	29866	13642.68	4463.6581
0.20206897	29866	13628.077	4454.3991
0.40413793	29866	13613.443	4445.1316
0.6062069	29866	13592.891	4432.1388
0.80827586	29866	13565.514	4414.8712
1.0103448	29866	13530.946	4393.1243
1.2124138	29866	13488.951	4366.7824
1.4144828	29866	13439.344	4335.7587
1.6165517	29866	13381.962	4299.9764
1.8186207	29866	13316.66	4259.36
2.0206897	29866	13243.314	4213.8322
2.2227586	29866	13161.826	4163.3122
2.4248276	29866	13072.131	4107.7157
2.6268966	29866	12974.203	4046.9546
2.8289655	29866	12868.061	3980.9388
3.0310345	29866	12753.773	3909.5768
3.2331034	29866	12631.453	3832.7782
3.4351724	29866	12501.263	3750.4554
3.6372414	29866	12363.404	3662.5256
3.8393103	29866	12218.107	3568.9129
4.0413793	29866	12065.627	3469.5499
4.2434483	29866	11906.231	3364.3782
4.4455172	29866	11740.191	3253.3482
4.6475862	29866	11567.777	3136.4171
4.8496552	29866	11389.26	3013.546
5.0517241	29866	11204.912	2884.6956
5.2537931	29866	11015.015	2749.823
5.4558621	29866	10819.865	2608.8803
5.657931	29866	10619.781	2461.8211
5.86	29866	10415.153	2308.6578
