r(x_rel=0.25)	t=0	t=1000	t=1665
0	29866	18516.947	6215.8264
0.20206897	29866	18506.342	6198.277
0.40413793	29866	18495.734	6180.7377
0.6062069	29866	18480.876	6156.2043
0.80827586	29866	18461.153	6123.6981
1.0103448	29866	18436.353	6082.9177
1.2124138	29866	18406.364	6033.7527
1.4144828	29866	18371.115	5976.1712
1.6165517	29866	18330.545	5910.1824
1.8186207	29866	18284.594	5835.8205
2.0206897	29866	18233.2	5753.1371
2.2227586	29866	18176.292	5662.1966
2.4248276	29866	18113.789	5563.0727
2.6268966	29866	18045.602	5455.8463
2.8289655	29866	17971.629	5340.6034
3.0310345	29866	17891.758	5217.4327
3.2331034	29866	17805.867	5086.424
3.4351724	29866	17713.831	4947.6663
3.6372414	29866	17615.517	4801.246
3.8393103	29866	17510.795	4647.2458
4.0413793	29866	17399.536	4485.743
4.2434483	29866	17281.618	4316.8098
4.4455172	29866	17156.929	4140.5119
4.6475862	29866	17025.361	3956.9095
4.8496552	29866	16886.814	3766.0568
5.0517241	29866	16741.186	3568.0025
5.2537931	29866	16588.37	3362.7888
5.4558621	29866	16428.24	3150.4509
5.657931	29866	16260.646	2931.0149
5.86	29866	16085.458	2704.5505
