r(x_rel=0.75)	t=0	t=1000	t=1665
0	17038	23741.99	35184.724
0.18	17038	23826.482	35281.111
0.36	17038	23911.111	35377.513
0.54	17038	24029.883	35512.507
0.72	17038	24187.948	35691.636
0.9	17038	24387.348	35916.783
1.08	17038	24629.348	36188.844
1.26	17038	24914.97	36508.338
1.44	17038	25245.153	36875.615
1.62	17038	25620.813	37290.94
1.8	17038	26042.852	37754.531
1.98	17038	26512.154	38266.577
2.16	17038	27029.572	38827.252
2.34	17038	27595.917	39436.723
2.52	17038	28211.953	40095.165
2.7	17038	28878.411	40802.777
2.88	17038	29596.003	41559.818
3.06	17038	30365.441	42366.66
3.24	17038	31187.443	43223.872
3.42	17038	32062.711	44132.348
3.6	17038	32991.873	45093.487
3.78	17038	33975.407	46109.429
3.96	17038	35013.572	47183.339
4.14	17038	36106.372	48319.717
4.32	17038	37253.582	49524.658
4.5	17038	38454.799	50805.966
4.68	17038	39709.446	52173.045
4.86	17038	41016.693	53636.561
5.04	17038	42375.298	55208.289
5.22	17038	43783.151	56901.572
