r(x_rel=0.5)	t=0	t=1000	t=1665
0	29866	16641.311	5222.3492
0.20206897	29866	16626.706	5209.6391
0.40413793	29866	16612.099	5196.9281
0.6062069	29866	16591.647	5179.1308
0.80827586	29866	16564.513	5155.5183
1.0103448	29866	16530.417	5125.8455
1.2124138	29866	16489.232	5089.9978
1.4144828	29866	16440.892	5047.9105
1.6165517	29866	16385.363	4999.5413
1.8186207	29866	16322.625	4944.8594
2.0206897	29866	16252.673	4883.84
2.2227586	29866	16175.505	4816.4617
2.4248276	29866	16091.122	4742.7052
2.6268966	29866	15999.524	4662.5524
2.8289655	29866	15900.703	4575.9861
3.0310345	29866	15794.637	4482.9899
3.2331034	29866	15681.289	4383.5478
3.4351724	29866	15560.597	4277.6437
3.6372414	29866	15432.475	4165.2614
3.8393103	29866	15296.807	4046.383
4.0413793	29866	15153.451	3920.9881
4.2434483	29866	15002.24	3789.052
4.4455172	29866	14842.989	3650.5436
4.6475862	29866	14675.501	3505.4242
4.8496552	29866	14499.578	3353.646
5.0517241	29866	14315.025	3195.1541
5.2537931	29866	14121.655	3029.891
5.4558621	29866	13919.291	2857.8093
5.657931	29866	13707.762	2678.8946
5.86	29866	13486.955	2493.2499
