x	t=0	t=1000	t=1665
97.2	4.2729614	3.4755393	3.1678997
99.806897	4.2729614	3.475511	3.1678829
102.41379	4.2729614	3.4754264	3.1678318
105.02069	4.2729614	3.475286	3.167745
107.62759	4.2729614	3.4750901	3.1676211
110.23448	4.2729614	3.4748395	3.1674584
112.84138	4.2729614	3.4745346	3.1672551
115.44828	4.2729614	3.4741759	3.1670091
118.05517	4.2729614	3.4737641	3.166718
120.66207	4.2729614	3.4732997	3.1663796
123.26897	4.2729614	3.4727834	3.1659915
125.87586	4.2729614	3.4722156	3.1655514
128.48276	4.2729614	3.4715972	3.1650573
131.08966	4.2729614	3.4709287	3.1645074
133.69655	4.2729614	3.4702108	3.1639005
136.30345	4.2729614	3.4694441	3.1632356
138.91034	4.2729614	3.4686294	3.162512
141.51724	4.2729614	3.4677672	3.1617297
144.12414	4.2729614	3.4668584	3.1608887
146.73103	4.2729614	3.4659034	3.1599896
149.33793	4.2729614	3.464903	3.1590332
151.94483	4.2729614	3.4638577	3.1580208
154.55172	4.2729614	3.4627682	3.1569539
157.15862	4.2729614	3.4616348	3.1558344
159.76552	4.2729614	3.4604582	3.1546643
162.37241	4.2729614	3.4592386	3.153446
164.97931	4.2729614	3.4579765	3.1521819
167.58621	4.2729614	3.4566719	3.1508741
170.1931	4.2729614	3.4553251	3.1495245
172.8	4.2729614	3.453936	3.1481344
