r(x_rel=0)	t=0	t=1000	t=1665
0	29866	19077.149	6600.3296
0.20206897	29866	19066.524	6580.8462
0.40413793	29866	19055.902	6561.3766
0.6062069	29866	19041.038	6534.1487
0.80827586	29866	19021.333	6498.0825
1.0103448	29866	18996.594	6452.853
1.2124138	29866	18966.743	6398.3501
1.4144828	29866	18931.745	6334.5551
1.6165517	29866	18891.585	6261.4986
1.8186207	29866	18846.262	6179.2436
2.0206897	29866	18795.777	6087.8765
2.2227586	29866	18740.135	5987.5023
2.4248276	29866	18679.337	5878.2398
2.6268966	29866	18613.379	5760.2183
2.8289655	29866	18542.249	5633.5737
3.0310345	29866	18465.922	5498.444
3.2331034	29866	18384.355	5354.9648
3.4351724	29866	18297.491	5203.2655
3.6372414	29866	18205.248	5043.4647
3.8393103	29866	18107.523	4875.6679
4.0413793	29866	18004.188	4699.9675
4.2434483	29866	17895.096	4516.4445
4.4455172	29866	17780.083	4325.1761
4.6475862	29866	17658.974	4126.2464
4.8496552	29866	17531.589	3919.7611
5.0517241	29866	17397.754	3705.8626
5.2537931	29866	17257.305	3484.7381
5.4558621	29866	17110.091	3256.6069
5.657931	29866	16955.97	3021.6628
5.86	29866	16794.837	2779.982
