r(x_rel=1)	t=0	t=1000	t=1665
0	17038	23674.316	34765.483
0.18	17038	23757.248	34855.671
0.36	17038	23840.327	34945.833
0.54	17038	23956.95	35072.004
0.72	17038	24112.195	35239.272
0.9	17038	24308.09	35449.262
1.08	17038	24545.898	35702.63
1.26	17038	24826.632	35999.632
1.44	17038	25151.219	36340.309
1.62	17038	25520.547	36724.551
1.8	17038	25935.49	37152.12
1.98	17038	26396.897	37622.648
2.16	17038	26905.586	38135.62
2.34	17038	27462.335	38690.353
2.52	17038	28067.871	39285.967
2.7	17038	28722.871	39921.36
2.88	17038	29427.979	40595.187
3.06	17038	30183.819	41305.874
3.24	17038	30991.011	42051.656
3.42	17038	31850.152	42830.701
3.6	17038	32761.759	43641.322
3.78	17038	33726.158	44482.328
3.96	17038	34743.339	45353.535
4.14	17038	35812.845	46256.417
4.32	17038	36933.738	47194.842
4.5	17038	38104.67	48175.652
4.68	17038	39323.971	49208.713
4.86	17038	40589.624	50305.837
5.04	17038	41899.039	51477.955
5.22	17038	43248.408	52730.127
