x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=5990
41.131034	0.25	0.24614765	0.24613482	0.24610926	0.24605886	0.24603437	0.24601073	0.24598804	0.24596593	0.24592263	0.24591203	0.24590152	0.24589115	0.24588091	0.24587084	0.24576464	0.24575861	0.24572326	0.24571217	0.24570083	0.2456767	0.24561736	0.24560064	0.24558357	0.24556622	0.24554852	0.24553039	0.24551174	0.24549251	0.2454726	0.24545184	0.24542996	0.24540658	0.24538384
44.068966	0.25	0.24614768	0.2461349	0.24610946	0.24605931	0.24603494	0.2460114	0.24598876	0.24596666	0.24592335	0.24591273	0.24590223	0.24589184	0.24588159	0.24587149	0.24576464	0.24575861	0.24572316	0.245712	0.24570056	0.24567612	0.24561546	0.24559832	0.24558084	0.24556306	0.24554491	0.24552626	0.24550705	0.24548718	0.24546655	0.24544494	0.24542206	0.24539752	0.24537363
47.006897	0.25	0.24614772	0.24613499	0.24610966	0.24605975	0.2460355	0.24601205	0.24598945	0.24596735	0.24592403	0.24591342	0.2459029	0.2458925	0.24588224	0.24587211	0.24576464	0.24575861	0.24572305	0.24571181	0.24570027	0.24567547	0.2456133	0.2455957	0.24557775	0.24555949	0.24554081	0.24552159	0.24550173	0.24548114	0.24545966	0.24543707	0.24541303	0.24538717	0.24536201
49.944828	0.25	0.24614775	0.24613507	0.24610985	0.24606018	0.24603604	0.24601268	0.24599011	0.24596802	0.24592469	0.24591407	0.24590354	0.24589313	0.24588285	0.2458727	0.24576464	0.24575861	0.24572293	0.2457116	0.24569993	0.24567473	0.24561086	0.24559274	0.24557425	0.24555544	0.24553617	0.24551629	0.2454957	0.24547427	0.24545182	0.24542808	0.24540269	0.24537536	0.24534878
52.882759	0.25	0.24614778	0.24613515	0.24611004	0.2460606	0.24603657	0.24601329	0.24599075	0.24596866	0.24592532	0.24591468	0.24590415	0.24589373	0.24588343	0.24587325	0.24576464	0.24575861	0.24572279	0.24571135	0.24569955	0.24567388	0.24560809	0.24558938	0.24557029	0.24555085	0.24553091	0.24551029	0.24548885	0.24546646	0.24544287	0.24541778	0.24539087	0.2453619	0.24533372
55.82069	0.25	0.24614781	0.24613523	0.24611023	0.246061	0.24603707	0.24601387	0.24599135	0.24596926	0.24592591	0.24591527	0.24590473	0.24589429	0.24588397	0.24587376	0.24576464	0.24575861	0.24572263	0.24571107	0.24569911	0.24567292	0.24560494	0.24558556	0.2455658	0.24554565	0.24552494	0.24550347	0.24548106	0.24545755	0.24543262	0.24540597	0.24537735	0.24534653	0.24531658
58.758621	0.25	0.24614785	0.24613531	0.2461104	0.24606139	0.24603755	0.24601442	0.24599192	0.24596983	0.24592646	0.24591582	0.24590527	0.24589482	0.24588447	0.24587424	0.24576464	0.24575861	0.24572245	0.24571076	0.24569861	0.24567182	0.24560136	0.24558123	0.24556069	0.24553974	0.24551816	0.24549571	0.24547219	0.24544735	0.24542085	0.24539242	0.24536188	0.245329	0.24529705
61.696552	0.25	0.24614788	0.24613539	0.24611057	0.24606176	0.24603802	0.24601494	0.24599246	0.24597037	0.24592698	0.24591633	0.24590577	0.24589531	0.24588494	0.24587468	0.24576464	0.24575861	0.24572225	0.24571039	0.24569804	0.24567056	0.24559729	0.2455763	0.24555488	0.24553301	0.24551043	0.24548685	0.24546202	0.24543562	0.24540729	0.24537686	0.24534416	0.24530897	0.24527475
64.634483	0.25	0.24614791	0.24613546	0.24611074	0.24606211	0.24603846	0.24601543	0.24599297	0.24597087	0.24592747	0.24591681	0.24590624	0.24589576	0.24588537	0.24587508	0.24576464	0.24575861	0.24572201	0.24570998	0.24569739	0.24566911	0.24559264	0.24557066	0.24554824	0.24552532	0.24550159	0.24547671	0.24545033	0.24542207	0.24539166	0.24535896	0.24532384	0.24528603	0.24524926
67.572414	0.25	0.24614794	0.24613553	0.24611089	0.24606245	0.24603887	0.24601589	0.24599344	0.24597134	0.24592793	0.24591726	0.24590667	0.24589618	0.24588577	0.24587545	0.24576464	0.24575861	0.24572174	0.2457095	0.24569664	0.24566745	0.24558731	0.24556421	0.24554063	0.24551651	0.24549145	0.24546503	0.24543681	0.24540638	0.24537359	0.24533835	0.24530048	0.2452597	0.24522001
70.510345	0.25	0.24614797	0.2461356	0.24611104	0.24606276	0.24603926	0.24601632	0.24599388	0.24597178	0.24592835	0.24591767	0.24590707	0.24589656	0.24588613	0.24587579	0.24576464	0.24575861	0.24572143	0.24570895	0.24569577	0.24566554	0.24558118	0.24555679	0.24553189	0.24550636	0.24547975	0.2454515	0.24542107	0.24538816	0.24535268	0.24531454	0.24527356	0.24522938	0.24518634
73.448276	0.25	0.246148	0.24613566	0.24611118	0.24606306	0.24603963	0.24601673	0.2459943	0.24597219	0.24592873	0.24591805	0.24590744	0.24589691	0.24588646	0.2458761	0.24576464	0.24575861	0.24572107	0.24570831	0.24569477	0.24566332	0.2455741	0.24554822	0.24552177	0.24549462	0.24546617	0.2454357	0.24540269	0.24536694	0.24532841	0.24528698	0.24524242	0.24519432	0.24514742
76.386207	0.25	0.24614803	0.24613572	0.24611131	0.24606335	0.24603997	0.2460171	0.24599468	0.24597256	0.24592909	0.24591839	0.24590777	0.24589723	0.24588676	0.24587637	0.24576464	0.24575861	0.24572065	0.24570757	0.24569359	0.24566074	0.24556588	0.24553826	0.24551001	0.24548094	0.24545027	0.24541714	0.24538114	0.24534216	0.24530013	0.24525491	0.24520621	0.24515359	0.2451022
79.324138	0.25	0.24614805	0.24613578	0.24611144	0.24606361	0.24604029	0.24601745	0.24599503	0.24597291	0.24592941	0.24591871	0.24590808	0.24589752	0.24588703	0.24587662	0.24576464	0.24575861	0.24572016	0.2457067	0.24569221	0.24565771	0.24555628	0.24552662	0.24549625	0.24546487	0.24543146	0.24539521	0.24535578	0.2453131	0.24526703	0.24521741	0.2451639	0.24510599	0.24504933
82.262069	0.25	0.24614808	0.24613584	0.24611156	0.24606386	0.24604059	0.24601777	0.24599535	0.24597322	0.24592971	0.24591899	0.24590835	0.24589778	0.24588727	0.24587684	0.24576464	0.2457586	0.24571958	0.24570567	0.24569058	0.24565415	0.24554498	0.2455129	0.24547999	0.24544575	0.24540906	0.24536916	0.2453258	0.24527881	0.24522804	0.24517327	0.24511411	0.24504997	0.24498708
85.2	0.47	0.2461481	0.24613589	0.24611167	0.24606409	0.24604086	0.24601806	0.24599564	0.24597351	0.24592997	0.24591925	0.2459086	0.24589801	0.24588749	0.24587703	0.24576464	0.2457586	0.24571889	0.24570444	0.24568864	0.24564992	0.24553157	0.24549659	0.24546054	0.24542276	0.24538216	0.24533806	0.24529009	0.24523806	0.24518176	0.24512089	0.24505502	0.24498346	0.24491314
86.057143	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
86.914286	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
87.771429	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
88.628571	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
89.485714	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
90.342857	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
91.2	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
92.057143	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
92.914286	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
93.771429	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
94.628571	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
95.485714	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
96.342857	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
97.2	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
99.806897	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
102.41379	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
105.02069	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
107.62759	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
110.23448	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
112.84138	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
115.44828	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
118.05517	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
120.66207	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
123.26897	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
125.87586	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
