r(x_rel=0.75)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.004	17039.786	17186.371	18986.462	20512.262	22247.216	24096.049	26013.224	29947.601	30937.006	31925.809	32913.659	33900.725	34887.387	45791.522	46389.843	49414.005	49892.713	50083.373	49732.018	47264.05	46448.707	45586.189	44688.543	43763.791	42818.555	41858.45	40888.073	39910.887	38929.164	37944.079	36955.985	35964.802	35070.003
0.18	17038	17038.006	17040.172	17195.974	19024.094	20557.154	22296.013	24147.109	26065.698	30001.042	30990.426	31979.176	32966.976	33954.009	34940.661	45845.366	46443.701	49447.148	49910.046	50085.412	49711.113	47221.159	46403.084	45538.462	44639.178	43713.171	42767.007	41806.248	40835.434	39857.963	38876.043	37890.795	36902.539	35911.184	35016.23
0.36	17038	17038.009	17040.591	17205.782	19061.854	20602.116	22344.848	24198.192	26118.187	30054.483	31043.845	32032.542	33020.291	34007.292	34993.936	45899.213	46497.559	49479.879	49926.937	50087.067	49689.97	47178.186	46357.397	45490.685	44589.775	43662.523	42715.438	41754.032	40782.786	39805.034	38822.918	37837.508	36849.089	35857.562	34962.451
0.54	17038	17038.013	17041.25	17219.954	19114.99	20665.207	22413.297	24269.759	26191.702	30129.3	31118.628	32107.251	33094.93	34081.888	35068.521	45974.602	46572.959	49524.824	49949.644	50088.57	49659.866	47117.85	46293.301	45423.692	44520.529	43591.553	42643.197	41680.9	40709.059	39730.919	38748.532	37762.896	36774.25	35782.481	34887.152
0.72	17038	17038.02	17042.265	17239.541	19185.955	20749.155	22504.237	24364.782	26289.274	30228.546	31217.825	32206.349	33193.936	34180.839	35167.461	46074.614	46672.977	49582.87	49978.104	50089.131	49619.049	47037.51	46208.04	45334.64	44428.529	43497.302	42547.291	41583.835	40611.225	39632.581	38649.841	37663.905	36674.956	35682.865	34787.249
0.9	17038	17038.034	17043.789	17265.416	19275.865	20855.028	22618.719	24484.309	26411.95	30353.24	31342.449	32330.847	33318.322	34305.16	35291.77	46200.283	46798.633	49653.265	50011.222	50087.575	49566.372	46936.089	46100.545	45222.464	44312.715	43378.716	42426.672	41461.801	40488.252	39508.994	38525.817	37539.506	36550.175	35557.678	34661.701
1.08	17038	17038.059	17046.041	17298.553	19385.544	20983.481	22757.311	24628.875	26560.239	30503.841	31492.957	32481.201	33468.545	34455.309	35441.912	46352.081	46950.385	49734.51	50047.355	50082.404	49500.728	46812.898	45970.173	45086.555	44172.508	43235.243	42280.815	41314.291	40339.649	39359.675	38375.983	37389.221	36399.424	35406.435	34510.026
1.26	17038	17038.103	17049.332	17340.092	19515.751	21135.035	22920.416	24798.829	26734.451	30680.596	31669.59	32657.653	33644.848	34631.535	35618.135	46530.269	47128.466	49824.559	50084.434	50071.833	49420.925	46667.359	45816.418	44926.463	44007.503	43066.517	42109.386	41141	40165.132	39184.352	38200.07	37212.779	36222.432	35228.864	34331.95
1.44	17038	17038.183	17054.103	17391.368	19667.253	21310.167	23108.371	24994.44	26934.807	30883.65	31872.488	32860.343	33847.376	34833.983	35820.591	46735.011	47332.997	49920.872	50120.018	50053.812	49325.656	46498.919	45638.815	44741.791	43817.36	42872.247	41912.138	40941.712	39964.509	38982.845	37997.903	37010.005	36019.021	35024.784	34127.298
1.62	17038	17038.329	17060.966	17453.926	19840.846	21509.348	23321.487	25215.942	27161.484	31113.094	32101.738	33089.359	34076.218	35062.75	36049.378	46966.417	47564.024	50020.438	50151.327	50026.053	49213.501	46307.023	45436.909	44532.162	43601.767	42652.179	41688.862	40716.26	39737.636	38755.026	37769.357	36780.774	35789.062	34794.067	33895.943
1.8	17038	17038.594	17070.756	17529.523	20037.357	21733.048	23560.064	25463.553	27414.632	31368.984	32357.393	33344.756	34331.436	35317.9	36304.567	47224.568	47821.531	50119.796	50175.288	49986.065	49082.939	46091.097	45210.238	44297.2	43360.423	42406.074	41439.376	40464.498	39484.398	38500.792	37514.336	36524.985	35532.452	34536.61	33637.788
1.98	17038	17039.073	17084.59	17620.132	20257.642	21981.748	23824.404	25737.484	27694.387	31651.356	32639.487	33626.57	34613.071	35599.482	36586.21	47509.528	48105.43	50215.05	50188.566	49931.186	48932.364	45850.549	44958.33	44036.529	43093.029	42133.705	41163.509	40186.303	39204.695	38220.059	37232.755	36242.553	35249.102	34252.325	33352.752
2.16	17038	17039.933	17103.935	17727.933	20502.569	22255.93	24114.808	26037.943	28000.877	31960.231	32948.037	33934.826	34921.155	35907.532	36894.348	47821.347	48415.542	50301.909	50187.617	49858.621	48760.108	45584.771	44680.7	43749.764	42799.291	41834.852	40861.102	39881.558	38898.443	37912.752	36924.541	35933.399	34938.931	33941.132	33040.764
2.34	17038	17041.469	17130.673	17855.302	20773.014	22556.078	24431.581	26365.137	28334.215	32295.617	33283.055	34269.539	35255.709	36242.079	37229.014	48160.068	48751.556	50375.738	50168.735	49765.481	48564.461	45293.141	44376.859	43436.521	42478.915	41509.3	40532.007	39550.161	38565.563	37578.803	36589.625	35597.448	34601.86	33602.958	32701.763
2.52	17038	17044.182	17167.163	18004.795	21069.842	22882.672	24775.028	26719.272	28694.509	32657.512	33644.543	34630.72	35616.753	36603.149	37590.241	48525.719	49112.963	50431.626	50128.107	49648.827	48343.7	44975.034	44046.311	43096.415	42131.613	41156.847	40176.084	39192.018	38205.986	37218.149	36227.939	35234.625	34237.812	33237.731	32335.692
2.7	17038	17048.913	17216.29	18179.118	21393.897	23236.182	25145.455	27100.55	29081.855	33045.91	34032.498	35018.377	36004.303	36990.764	37978.055	48918.315	49498.956	50464.467	50061.871	49505.71	48096.108	44629.822	43688.563	42729.066	41757.108	40777.3	39793.207	38807.046	37819.647	36830.728	35839.413	34844.854	33846.711	32845.384	31942.504
2.88	17038	17057.035	17281.484	18381.102	21745.988	23617.065	25543.166	27509.169	29496.334	33460.795	34446.915	35432.515	36418.376	37404.949	38392.486	49337.842	49908.276	50469.064	49966.175	49333.218	47820.006	44256.886	43303.131	42334.106	41355.135	40370.482	39383.266	38395.171	37406.491	36416.48	35423.977	34428.057	33428.476	32425.85	31522.154
3.06	17038	17070.714	17366.715	18613.654	22126.874	24025.757	25968.46	27945.322	29938.013	33902.15	34887.788	35873.14	36858.986	37845.726	38833.559	49784.243	50338.969	50440.228	49837.24	49128.52	47513.768	43855.623	42889.541	41911.18	40925.448	39936.236	38946.163	37956.333	36966.463	35975.344	34981.557	33984.149	32983.028	31979.064	31074.61
