r(x_rel=0.75)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	29866	29722.355	29030.472	27300.233	23743.816	21937.51	20310.128	18846.802	17223.549	13695.667	12812.142	11953.599	11146.217	10407.622	9733.8717	2199.157	1922.1133	4069.7363	4907.665	5767.6308	7542.3249	10873.856	11702.973	12551.528	13421.013	14311.955	15232.554	16196.694	17208.908	18237.315	19201.865	20037.852	20764.422	21447.933	22070.231
0.20206897	29866	29718.42	29023.675	27292.937	23736.379	21930.165	20304.052	18840.596	17216.455	13688.32	12804.906	11946.677	11139.825	10401.833	9728.5477	2193.7995	1919.5926	4076.6008	4914.6215	5774.8537	7549.6243	10880.601	11709.881	12558.619	13428.269	14319.402	15240.3	16204.858	17217.442	18245.732	19209.35	20044.166	20770.094	21453.53	22076.03
0.40413793	29866	29714.457	29016.875	27285.641	23728.942	21922.821	20297.978	18834.387	17209.36	13680.972	12797.671	11939.756	11133.436	10396.045	9723.2252	2188.4415	1917.1062	4083.4648	4921.5792	5782.0778	7556.9227	10887.347	11716.79	12565.711	13435.526	14326.849	15248.048	16213.023	17225.977	18254.147	19216.829	20050.476	20775.766	21459.128	22081.83
0.6062069	29866	29708.853	29007.346	27275.427	23718.53	21912.543	20289.48	18825.69	17199.425	13670.685	12787.543	11930.072	11124.496	10387.949	9715.7767	2180.9394	1913.6991	4093.0736	4931.3223	5792.1939	7567.1384	10896.793	11726.464	12575.64	13445.686	14337.278	15258.899	16224.459	17237.929	18265.923	19227.289	20059.301	20783.703	21466.966	22089.953
0.80827586	29866	29701.321	28994.694	27261.878	23704.715	21898.914	20278.217	18814.143	17186.243	13657.04	12774.111	11917.231	11112.646	10377.217	9705.9014	2170.9867	1909.3121	4105.8186	4944.2509	5805.6175	7580.6862	10909.326	11739.3	12588.815	13459.167	14351.116	15273.298	16239.637	17253.788	18281.537	19241.144	20070.992	20794.228	21477.365	22100.734
1.0103448	29866	29691.7	28978.777	27244.855	23687.355	21881.8	20264.081	18799.621	17169.674	13639.896	12757.24	11901.11	11097.773	10363.748	9693.5024	2158.4822	1904.0151	4121.8295	4960.5013	5822.49	7597.7019	10925.076	11755.433	12605.372	13476.109	14368.508	15291.399	16258.717	17273.719	18301.14	19258.518	20085.656	20807.444	21490.434	22114.286
1.2124138	29866	29679.856	28959.523	27224.296	23666.383	21861.144	20247.028	18782.06	17149.655	13619.191	12736.87	11881.654	11079.833	10347.501	9678.5394	2143.3822	1897.9402	4141.1646	4980.1382	5842.8785	7618.2445	10944.104	11774.924	12625.376	13496.576	14389.522	15313.275	16281.779	17297.802	18324.797	19279.455	20103.33	20823.397	21506.224	22130.667
1.4144828	29866	29665.648	28936.884	27200.165	23641.762	21836.92	20227.044	18761.417	17126.146	13594.891	12712.972	11858.842	11058.808	10328.462	9660.9945	2125.6682	1891.2688	4163.8546	5003.1996	5866.8223	7642.343	10966.446	11797.811	12648.863	13520.607	14414.198	15338.969	16308.87	17326.081	18352.535	19303.96	20124.024	20842.108	21524.764	22149.91
1.6165517	29866	29648.929	28910.824	27172.443	23613.468	21809.118	20204.123	18737.661	17099.124	13566.977	12685.531	11832.665	11034.696	10306.629	9640.8606	2105.3376	1884.23	4189.9176	5029.7117	5894.3483	7670.0115	10992.123	11824.117	12675.857	13548.226	14442.562	15368.514	16340.025	17358.586	18384.363	19332.023	20147.732	20863.585	21546.074	22172.039
1.8186207	29866	29629.544	28881.308	27141.117	23581.484	21777.735	20178.272	18710.763	17068.569	13535.435	12654.54	11803.123	11007.503	10282.005	9618.1372	2082.4015	1877.1021	4219.3654	5059.6946	5925.4771	7701.256	11021.153	11853.861	12706.377	13579.449	14474.634	15401.934	16375.27	17395.339	18420.278	19363.62	20174.438	20887.834	21570.167	22197.075
2.0206897	29866	29607.328	28848.308	27106.178	23545.797	21742.778	20149.499	18680.696	17034.466	13500.258	12619.995	11770.223	10977.24	10254.604	9592.8274	2056.8869	1870.2169	4252.206	5093.1656	5960.2261	7736.0772	11053.548	11887.057	12740.435	13614.291	14510.432	15439.25	16414.631	17436.358	18460.27	19398.717	20204.122	20914.854	21597.057	22225.034
2.2227586	29866	29582.112	28811.794	27067.619	23506.394	21704.255	20117.817	18647.432	16996.802	13461.44	12581.9	11733.976	10943.925	10224.439	9564.9373	2028.8394	1863.9632	4288.4455	5130.1407	5998.6112	7774.4717	11089.322	11923.717	12778.046	13652.765	14549.97	15480.483	16458.131	17481.658	18504.323	19437.272	20236.757	20944.642	21626.753	22255.936
2.4248276	29866	29553.727	28771.738	27025.437	23463.267	21662.182	20083.242	18610.943	16955.565	13418.979	12540.257	11694.395	10907.578	10191.528	9534.4747	1998.3298	1858.7922	4328.0893	5170.6352	6040.6472	7816.4334	11128.484	11963.855	12819.218	13694.88	14593.263	15525.655	16505.794	17531.253	18552.413	19479.238	20272.314	20977.196	21659.268	22289.796
2.6268966	29866	29521.999	28728.112	26979.626	23416.404	21616.576	20045.79	18571.198	16910.744	13372.873	12495.074	11651.498	10868.223	10155.892	9501.4493	1965.4612	1855.2214	4371.1423	5214.6645	6086.3489	7861.9535	11171.045	12007.482	12863.964	13740.648	14640.326	15574.787	16557.643	17585.154	18604.512	19524.56	20310.758	21012.51	21694.611	22326.634
2.8289655	29866	29486.761	28680.89	26930.184	23365.797	21567.459	20005.479	18528.165	16862.328	13323.122	12446.358	11605.307	10825.887	10117.553	9465.8714	1930.3792	1853.8391	4417.6098	5262.2443	6135.7308	7911.0208	11217.016	12054.609	12912.294	13790.079	14691.174	15627.899	16613.702	17643.373	18660.586	19573.177	20352.056	21050.58	21732.793	22366.467
3.0310345	29866	29447.849	28630.043	26877.109	23311.436	21514.858	19962.329	18481.81	16810.307	13269.725	12394.122	11555.843	10780.601	10076.538	9427.7522	1893.2847	1855.3077	4467.4975	5313.391	6188.8077	7963.6222	11266.407	12105.248	12964.217	13843.184	14745.822	15685.016	16673.998	17705.92	18720.594	19625.024	20396.169	21091.401	21773.827	22409.317
3.2331034	29866	29405.107	28575.548	26820.398	23253.309	21458.803	19916.358	18432.097	16754.672	13212.685	12338.376	11503.135	10732.396	10032.874	9387.1037	1854.4504	1860.3642	4520.8122	5368.1216	6245.5946	8019.7423	11319.23	12159.411	13019.746	13899.972	14804.286	15746.163	16738.557	17772.802	18784.49	19680.028	20443.061	21134.968	21817.726	22455.204
3.4351724	29866	29358.385	28517.38	26760.051	23191.408	21399.328	19867.585	18378.988	16695.413	13152.004	12279.136	11447.21	10681.309	9986.5876	9343.9379	1814.2414	1869.8191	4577.5614	5426.4542	6306.1066	8079.3635	11375.497	12217.11	13078.889	13960.455	14866.585	15811.364	16807.407	17844.029	18852.219	19738.113	20492.691	21181.277	21864.502	22504.151
3.6372414	29866	29307.541	28455.516	26696.064	23125.719	21336.473	19816.027	18322.441	16632.521	13087.686	12216.418	11388.102	10627.379	9937.7108	9298.2668	1773.1417	1884.5501	4637.7543	5488.4075	6370.3593	8142.4664	11435.219	12278.359	13141.659	14024.645	14932.736	15880.648	16880.577	17919.605	18923.72	19799.197	20545.02	21230.325	21914.172	22556.183
3.8393103	29866	29252.443	28389.936	26628.438	23056.232	21270.283	19761.7	18262.416	16565.987	13019.734	12150.241	11325.844	10570.645	9886.2746	9250.1024	1731.7873	1905.4899	4701.4013	5554.0015	6438.3682	8209.0293	11498.409	12343.169	13208.066	14092.552	15002.76	15954.045	16958.098	17999.533	18998.924	19863.196	20600.01	21282.109	21966.753	22611.325
4.0413793	29866	29192.966	28320.621	26557.169	22982.934	21200.809	19704.619	18198.866	16495.804	12948.153	12080.624	11260.477	10511.151	9832.3118	9199.456	1691.0077	1933.605	4768.5148	5623.2573	6510.149	8279.0283	11565.082	12411.556	13278.123	14164.191	15076.68	16031.585	17040.001	18083.816	19077.751	19930.018	20657.622	21336.63	22022.261	22669.607
4.2434483	29866	29128.998	28247.554	26482.256	22905.809	21128.107	19644.793	18131.746	16421.962	12872.951	12007.591	11192.04	10448.943	9775.8562	9146.3386	1651.8791	1969.8628	4839.109	5696.1968	6585.7174	8352.4376	11635.25	12483.533	13351.84	14239.573	15154.517	16113.304	17126.319	18172.452	19160.115	19999.571	20717.818	21393.886	22080.718	22731.056
4.4455172	29866	29060.437	28170.72	26403.699	22824.844	21052.242	19582.231	18061.008	16344.455	12794.135	11931.169	11120.579	10384.07	9716.9422	9090.7599	1615.7907	2015.1811	4913.1999	5772.8434	6665.0888	8429.2289	11708.931	12559.114	13429.231	14318.713	15236.298	16199.235	17217.088	18265.434	19245.917	20071.759	20780.564	21453.882	22142.145	22795.706
4.6475862	29866	28987.193	28090.108	26321.494	22740.021	20973.283	19516.936	17986.603	16263.276	12711.714	11851.384	11046.142	10316.581	9655.6049	9032.7284	1584.5296	2070.3553	4990.8063	5853.2215	6748.2784	8509.3719	11786.138	12638.315	13510.307	14401.625	15322.05	16289.417	17312.341	18362.754	19335.049	20146.482	20845.825	21516.621	22206.564	22863.59
4.8496552	29866	28909.195	28005.706	26235.642	22651.325	20891.308	19448.906	17908.481	16178.418	12625.697	11768.268	10968.78	10246.529	9591.8797	8972.2515	1560.3877	2135.9544	5071.9489	5937.3566	6835.3005	8592.8343	11866.889	12721.152	13595.083	14488.326	15411.801	16383.89	17412.116	18464.396	19427.391	20223.642	20913.571	21582.111	22274.003	22934.744
5.0517241	29866	28826.39	27917.509	26146.139	22558.735	20806.403	19378.133	17826.593	16089.875	12536.098	11681.857	10888.547	10173.97	9525.802	8909.3342	1546.2984	2212.1751	5156.651	6025.2755	6926.1688	8679.5816	11951.201	12807.639	13683.571	14578.832	15505.584	16482.695	17516.449	18570.339	19522.813	20303.138	20983.774	21650.36	22344.489	23009.207
5.2537931	29866	28738.744	27825.512	26052.984	22462.231	20718.664	19304.604	17740.889	15997.642	12442.929	11592.186	10805.503	10098.959	9457.4071	8843.9798	1546.0109	2298.6404	5244.9379	6117.0063	7020.8957	8769.5772	12039.093	12897.794	13775.784	14673.162	15603.433	16585.877	17625.377	18680.553	19621.171	20384.87	21056.408	21721.38	22418.051	23087.02
5.4558621	29866	28646.246	27729.712	25956.175	22361.793	20628.194	19228.295	17651.319	15901.711	12346.207	11499.299	10719.71	10021.554	9386.7296	8776.189	1564.3126	2394.1231	5336.8374	6212.5782	7119.4917	8862.7831	12130.583	12991.633	13871.738	14771.333	15705.385	16693.483	17738.939	18795	19722.313	20468.741	21131.453	21795.186	22494.723	23168.225
5.657931	29866	28548.906	27630.111	25855.71	22257.396	20535.104	19149.177	17557.839	15802.079	12245.949	11403.24	10631.231	9941.8159	9313.8034	8705.9595	1607.3145	2496.1703	5432.3786	6312.0217	7221.9655	8959.1594	12225.691	13089.173	13971.446	14873.368	15811.477	16805.561	17857.17	18913.631	19826.076	20554.654	21208.891	21871.796	22574.538	23252.87
5.86	29866	28446.783	27526.734	25751.611	22149.042	20439.536	19067.228	17460.429	15698.763	12142.198	11304.081	10540.156	9859.8215	9238.6773	8633.3025	1682.7092	2600.5889	5531.5685	6415.3435	7328.2977	9058.6426	12324.413	13190.406	14074.9	14979.264	15921.727	16922.133	17980.078	19036.353	19932.266	20642.504	21288.688	21951.21	22657.514	23340.98
