x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=5990
35.255172	0	-0.0083275737	-0.0088484289	-0.0087773253	-0.0091521739	-0.01104423	-0.013302454	-0.010846038	-0.0093377511	-0.010530415	-0.01139005	-0.012515052	-0.013878734	-0.015267764	-0.016216035	0.0050683886	0.0074951904	0.0071271492	0.0070695717	0.0074986946	0.0084882981	0.0070347998	0.0067095035	0.0065224182	0.0065203803	0.0066947621	0.0069789222	0.0073265613	0.007718374	0.0081496048	0.0086220093	0.0091304787	0.0096099261	0.0098217256
38.193103	0	-0.0096894541	-0.010267485	-0.010187287	-0.010621208	-0.012771217	-0.015225584	-0.012465465	-0.010815387	-0.012179331	-0.013149184	-0.014409791	-0.015921182	-0.017438159	-0.018445776	0.0059700485	0.0087857715	0.0083533642	0.0082936133	0.008795264	0.0099258585	0.0082385436	0.0078658053	0.0076530164	0.0076556063	0.0078638171	0.0081997389	0.0086092788	0.0090698802	0.0095757311	0.010127105	0.010709352	0.011226191	0.011412122
41.131034	0	-0.011140012	-0.011772806	-0.011683579	-0.012180034	-0.014592144	-0.017215475	-0.014159247	-0.012378729	-0.013918909	-0.014999046	-0.016392607	-0.018043773	-0.019674975	-0.020728842	0.0069513858	0.010176561	0.0096752838	0.0096155576	0.0101945	0.011467399	0.0095345764	0.0091133924	0.0088749285	0.008884071	0.0091299611	0.0095225956	0.0099995263	0.010534677	0.011120799	0.011754793	0.012405666	0.012942465	0.013089087
44.068966	0	-0.012677553	-0.013362375	-0.013264284	-0.013826736	-0.016503357	-0.019266056	-0.015924615	-0.014025551	-0.015746123	-0.016935926	-0.01845866	-0.020240322	-0.021971632	-0.023059744	0.008014255	0.01166715	0.011092987	0.011035908	0.011696459	0.013110882	0.010922837	0.010452756	0.010189052	0.010206986	0.010494655	0.010949143	0.011499086	0.012114568	0.012786165	0.01350382	0.014211894	0.014749362	0.014846683
47.006897	0	-0.014301016	-0.015034982	-0.014928288	-0.015560254	-0.018501928	-0.021373162	-0.017760136	-0.015754519	-0.017658948	-0.018957166	-0.020604215	-0.022506	-0.024323407	-0.025435117	0.0091606843	0.013257234	0.012606799	0.01255539	0.013301293	0.014854342	0.012403579	0.011884714	0.011596615	0.011625903	0.011959712	0.012481403	0.013110115	0.013811651	0.014572902	0.015370648	0.016118395	0.016638715	0.016680815
49.944828	0	-0.016010018	-0.016790241	-0.016675296	-0.017380391	-0.020585445	-0.023534367	-0.019665588	-0.01756519	-0.019656277	-0.021060989	-0.022826407	-0.02483709	-0.026727099	-0.027853246	0.010392889	0.014946657	0.014217351	0.014174985	0.015009268	0.016695942	0.013977445	0.013410476	0.013099242	0.013142773	0.013527365	0.014121826	0.014835189	0.015628237	0.016481069	0.017348534	0.018115016	0.01860441	0.01858927
52.882759	0	-0.017804889	-0.018628601	-0.01850585	-0.019287799	-0.022751816	-0.02574883	-0.021641848	-0.019457982	-0.021737805	-0.023246324	-0.025123037	-0.027230803	-0.029180774	-0.030313727	0.011713291	0.016735456	0.01592564	0.015895977	0.016820779	0.018634056	0.015645544	0.015031727	0.014699021	0.014760019	0.015200329	0.015873363	0.016677326	0.017566553	0.018508385	0.019427817	0.020192934	0.020642719	0.020571591
55.82069	0	-0.019686703	-0.020551349	-0.020421336	-0.021283959	-0.024999146	-0.028017139	-0.023690796	-0.021434163	-0.023903906	-0.025512622	-0.027492417	-0.029685174	-0.03168358	-0.032817213	0.013124546	0.018623924	0.017733111	0.017719989	0.018736374	0.020667354	0.017409552	0.016750707	0.016398592	0.016480615	0.016981886	0.01773953	0.018639931	0.019627954	0.020648848	0.021597886	0.022345893	0.022752259	0.022628848
58.758621	0	-0.021657312	-0.022560628	-0.022423999	-0.023371143	-0.02732572	-0.030341193	-0.025815249	-0.023495832	-0.026155495	-0.027859693	-0.029933282	-0.032199003	-0.034235621	-0.035365251	0.014629587	0.020612671	0.019641738	0.019649033	0.020756781	0.022794903	0.019271816	0.018570321	0.018201241	0.01830818	0.018875978	0.019724461	0.020726519	0.021811346	0.022892819	0.023849702	0.024570638	0.024933745	0.024763395
61.696552	0	-0.023719382	-0.024659462	-0.02451697	-0.025552349	-0.029730121	-0.032724085	-0.028018914	-0.025645921	-0.028493887	-0.030287578	-0.032444761	-0.034771838	-0.036837852	-0.037960157	0.016231672	0.022702717	0.02165413	0.021685562	0.022882959	0.02501629	0.021235484	0.020494261	0.020111017	0.020247097	0.020887309	0.021832891	0.022939846	0.024111339	0.02522949	0.026177436	0.02686679	0.027189657	0.026978655
64.634483	0	-0.025876444	-0.026851789	-0.026704312	-0.027831211	-0.03221144	-0.035170028	-0.030306376	-0.027888204	-0.030920649	-0.032796463	-0.035026403	-0.037403967	-0.039492018	-0.040604943	0.017934457	0.024895584	0.023773649	0.023832529	0.025116158	0.027331764	0.023304663	0.022527148	0.022132874	0.022302642	0.023021444	0.024069882	0.025279984	0.026518292	0.02765014	0.028578931	0.029236482	0.029523935	0.029278976
67.572414	0	-0.02813296	-0.029142527	-0.028991076	-0.030211836	-0.034769547	-0.0376843	-0.032683117	-0.030227319	-0.033437468	-0.035386659	-0.037678243	-0.040096433	-0.04220061	-0.043303275	0.01974209	0.027193429	0.026004558	0.026093462	0.02745802	0.0297424	0.025484608	0.024674726	0.024272845	0.024481149	0.025284832	0.026439811	0.027742006	0.029021535	0.030150089	0.031055463	0.031683929	0.031941753	0.031669569
70.510345	0	-0.030494405	-0.031537655	-0.031383395	-0.032698579	-0.037405353	-0.040273231	-0.035155558	-0.032668809	-0.03604604	-0.038058642	-0.040400887	-0.042851036	-0.044966834	-0.046059458	0.021659334	0.029599199	0.028352198	0.028472559	0.02991072	0.032250313	0.027781966	0.026944083	0.026538259	0.026790176	0.027684526	0.02894395	0.030316301	0.031613408	0.032729101	0.033611247	0.034215084	0.034449419	0.034156522
73.448276	0	-0.032967381	-0.034044326	-0.033888596	-0.035295737	-0.040121049	-0.042944232	-0.037731144	-0.035219175	-0.038748031	-0.040813164	-0.043195605	-0.04567036	-0.047794617	-0.048878451	0.023691729	0.032116839	0.030823214	0.030974826	0.03247716	0.034858913	0.030205086	0.029343955	0.028938012	0.029238607	0.030226914	0.031577701	0.032992936	0.034291385	0.035390975	0.036252948	0.03683745	0.037054379	0.036746884
76.386207	0	-0.035559758	-0.036671024	-0.036515366	-0.038007254	-0.042920302	-0.045705848	-0.040418452	-0.03788593	-0.041545112	-0.043651409	-0.04606443	-0.048557795	-0.050688625	-0.051765898	0.02584581	0.034751557	0.033425839	0.033606265	0.035161251	0.037573235	0.032764428	0.031885119	0.031482887	0.031836342	0.032914546	0.034331758	0.035766472	0.037058276	0.03814296	0.038989378	0.039560066	0.039765343	0.039448807
79.324138	0	-0.03828086	-0.039427759	-0.039273948	-0.040836571	-0.045808415	-0.048567872	-0.043227346	-0.040677674	-0.044439093	-0.046575174	-0.049010249	-0.051517584	-0.053654303	-0.054728186	0.028129401	0.037510186	0.036170271	0.036374172	0.037968288	0.040400384	0.035473129	0.034580913	0.03418581	0.034592532	0.035743155	0.037198107	0.038637998	0.039921677	0.040995307	0.041831442	0.04239367	0.042592508	0.042271757
82.262069	0	-0.041141707	-0.04232633	-0.042176415	-0.043786794	-0.048792476	-0.051541489	-0.046169169	-0.043604141	-0.047432145	-0.049587063	-0.052036893	-0.054554874	-0.056697938	-0.057772526	0.030552011	0.040401682	0.039069187	0.039287573	0.040905486	0.043350135	0.038347774	0.037447911	0.03706151	0.037511312	0.038704681	0.040175417	0.041615091	0.042893406	0.043961156	0.044792362	0.045351044	0.045547894	0.045226791
85.2	0	-0.044155324	-0.045380662	-0.045237014	-0.046861222	-0.05188149	-0.054639487	-0.049256993	-0.04667624	-0.050527068	-0.052690661	-0.055149229	-0.05767579	-0.059826749	-0.06090705	0.033125393	0.04343782	0.042138475	0.042357903	0.043982715	0.046435791	0.04140952	0.040506631	0.04012385	0.040589417	0.041795378	0.043270749	0.04471124	0.045989317	0.047056843	0.047888191	0.048447551	0.048645816	0.048326926
86.057143	0	-0.044666551	-0.045902029	-0.045760139	-0.047382528	-0.052403636	-0.055165963	-0.049784329	-0.047199767	-0.051049648	-0.053213782	-0.05567334	-0.058201283	-0.060353943	-0.061436052	0.033524345	0.04395083	0.042663583	0.042881268	0.04450549	0.046960178	0.041934688	0.041031454	0.040648171	0.041112901	0.042318477	0.043794046	0.045234948	0.04651347	0.047581421	0.04841317	0.048972922	0.049171619	0.048853242
86.914286	0	-0.045004374	-0.046248609	-0.046108239	-0.047728949	-0.0527505	-0.05551641	-0.050135806	-0.047548033	-0.051396858	-0.053561311	-0.056021541	-0.058550473	-0.060704418	-0.061787999	0.03376162	0.044289185	0.043012895	0.043229045	0.044852709	0.047308748	0.042283937	0.041380378	0.040996622	0.041460569	0.042665741	0.044141412	0.045582605	0.046861452	0.047929714	0.048761752	0.049321784	0.049520791	0.049202797
87.771429	0	-0.045342397	-0.04659535	-0.0464565	-0.048075579	-0.053097644	-0.055867132	-0.050487471	-0.047896483	-0.051744328	-0.053909133	-0.056370065	-0.058900014	-0.061055262	-0.062140314	0.033998745	0.044627741	0.043362452	0.043577075	0.045200189	0.047657575	0.042633408	0.041729523	0.041345297	0.041808472	0.043013249	0.04448903	0.045930518	0.047209694	0.048278268	0.049110596	0.049670907	0.049870224	0.049552614
88.628571	0	-0.045680634	-0.046942263	-0.046804936	-0.048422429	-0.05344508	-0.05621814	-0.050839336	-0.048245128	-0.05209207	-0.054257257	-0.056718924	-0.059249918	-0.061406487	-0.062493008	0.034235749	0.044966512	0.04371227	0.043925376	0.045547947	0.048006675	0.042983116	0.042078904	0.041694212	0.042156627	0.043361018	0.044836916	0.046278705	0.047558212	0.0486271	0.049459719	0.050020309	0.050219937	0.049902709
