r(x_rel=1)	t=0	t=1000	t=1665
0	17038	23673.994	34764.014
0.18	17038	23756.919	34854.182
0.36	17038	23839.992	34944.323
0.54	17038	23956.605	35070.464
0.72	17038	24111.837	35237.692
0.9	17038	24307.716	35447.629
1.08	17038	24545.505	35700.929
1.26	17038	24826.216	35997.847
1.44	17038	25150.775	36338.421
1.62	17038	25520.072	36722.538
1.8	17038	25934.978	37149.955
1.98	17038	26396.344	37620.299
2.16	17038	26904.989	38133.049
2.34	17038	27461.688	38687.514
2.52	17038	28067.169	39282.803
2.7	17038	28722.11	39917.798
2.88	17038	29427.153	40591.139
3.06	17038	30182.922	41301.222
3.24	17038	30990.037	42046.251
3.42	17038	31849.095	42824.347
3.6	17038	32760.613	43633.765
3.78	17038	33724.917	44473.238
3.96	17038	34741.997	45342.488
4.14	17038	35811.398	46242.88
4.32	17038	36932.184	47178.163
4.5	17038	38103.007	48155.063
4.68	17038	39322.197	49183.354
4.86	17038	40587.739	50274.79
5.04	17038	41897.043	51440.266
5.22	17038	43246.306	52684.749
