r(x_rel=0.25)	t=0	t=1000	t=1665
0	17038	24880.211	38257.15
0.18	17038	24976.747	38373.497
0.36	17038	25073.458	38489.88
0.54	17038	25209.226	38652.889
0.72	17038	25389.974	38869.256
0.9	17038	25618.074	39141.308
1.08	17038	25895.013	39470.194
1.26	17038	26221.981	39856.627
1.44	17038	26600.068	40301.135
1.62	17038	27030.317	40804.161
1.8	17038	27513.761	41366.119
1.98	17038	28051.423	41987.42
2.16	17038	28644.333	42668.491
2.34	17038	29293.535	43409.787
2.52	17038	30000.089	44211.793
2.7	17038	30765.075	45075.023
2.88	17038	31589.577	45999.999
3.06	17038	32474.671	46987.203
3.24	17038	33421.393	48036.994
3.42	17038	34430.719	49149.467
3.6	17038	35503.55	50324.229
3.78	17038	36640.709	51560.089
3.96	17038	37842.966	52854.636
4.14	17038	39111.067	54203.746
4.32	17038	40445.778	55601.08
4.5	17038	41847.926	57037.724
4.68	17038	43318.433	58502.166
4.86	17038	44858.354	59980.693
5.04	17038	46468.942	61457.835
5.22	17038	48151.342	62914.973
