r(x_rel=0.5)	t=0	t=1000	t=1665
0	17038	24211.392	36546.88
0.18	17038	24300.913	36653.94
0.36	17038	24390.579	36761.042
0.54	17038	24516.421	36911.076
0.72	17038	24683.898	37110.262
0.9	17038	24895.175	37360.781
1.08	17038	25151.599	37663.741
1.26	17038	25454.259	38019.864
1.44	17038	25804.163	38429.722
1.62	17038	26202.301	38893.831
1.8	17038	26649.658	39412.704
1.98	17038	27147.217	39986.889
2.16	17038	27695.951	40616.99
2.34	17038	28296.816	41303.697
2.52	17038	28950.743	42047.817
2.7	17038	29658.637	42850.301
2.88	17038	30421.379	43712.284
3.06	17038	31239.831	44635.126
3.24	17038	32114.842	45620.444
3.42	17038	33047.267	46670.144
3.6	17038	34037.967	47786.423
3.78	17038	35087.81	48971.738
3.96	17038	36197.655	50228.708
4.14	17038	37368.3	51559.947
4.32	17038	38600.424	52967.823
4.5	17038	39894.534	54454.229
4.68	17038	41250.97	56020.556
4.86	17038	42669.969	57668.262
5.04	17038	44151.774	59400.546
5.22	17038	45696.3	61224.728
