r(x_rel=0.5)	t=0	t=1000	t=1665
0	29866	16642.199	5225.0589
0.20206897	29866	16627.606	5212.3505
0.40413793	29866	16613.012	5199.6412
0.6062069	29866	16592.577	5181.8462
0.80827586	29866	16565.466	5158.237
1.0103448	29866	16531.398	5128.5684
1.2124138	29866	16490.246	5092.726
1.4144828	29866	16441.946	5050.6451
1.6165517	29866	16386.46	5002.2835
1.8186207	29866	16323.771	4947.6105
2.0206897	29866	16253.872	4886.6013
2.2227586	29866	16176.761	4819.2344
2.4248276	29866	16092.439	4745.4907
2.6268966	29866	16000.907	4665.352
2.8289655	29866	15902.156	4578.801
3.0310345	29866	15796.166	4485.8212
3.2331034	29866	15682.898	4386.3965
3.4351724	29866	15562.293	4280.5108
3.6372414	29866	15434.265	4168.1478
3.8393103	29866	15298.698	4049.2896
4.0413793	29866	15155.452	3923.9158
4.2434483	29866	15004.361	3792.0019
4.4455172	29866	14845.241	3653.5171
4.6475862	29866	14677.896	3508.4226
4.8496552	29866	14502.128	3356.6709
5.0517241	29866	14317.743	3198.2067
5.2537931	29866	14124.555	3032.9722
5.4558621	29866	13922.387	2860.9188
5.657931	29866	13711.068	2682.0305
5.86	29866	13490.487	2496.4085
