r(x_rel=0.75)	t=0	t=1000	t=1665
0	17038	23741.802	35183.949
0.18	17038	23826.29	35280.328
0.36	17038	23910.916	35376.721
0.54	17038	24029.682	35511.704
0.72	17038	24187.739	35690.817
0.9	17038	24387.13	35915.944
1.08	17038	24629.118	36187.979
1.26	17038	24914.726	36507.441
1.44	17038	25244.893	36874.681
1.62	17038	25620.534	37289.961
1.8	17038	26042.551	37753.498
1.98	17038	26511.829	38265.481
2.16	17038	27029.22	38826.082
2.34	17038	27595.535	39435.467
2.52	17038	28211.539	40093.808
2.7	17038	28877.961	40801.304
2.88	17038	29595.515	41558.21
3.06	17038	30364.911	42364.896
3.24	17038	31186.868	43221.928
3.42	17038	32062.086	44130.199
3.6	17038	32991.196	45091.107
3.78	17038	33974.677	46106.796
3.96	17038	35012.785	47180.443
4.14	17038	36105.527	48316.57
4.32	17038	37252.679	49521.314
4.5	17038	38453.838	50802.55
4.68	17038	39708.429	52169.778
4.86	17038	41015.622	53633.794
5.04	17038	42374.178	55206.522
5.22	17038	43781.986	56901.483
