r(x_rel=0)	t=0	t=1000	t=1665
0	17038	25683.671	40118.927
0.18	17038	25789.069	40242.048
0.36	17038	25894.663	40365.163
0.54	17038	26042.901	40537.505
0.72	17038	26240.238	40766.087
0.9	17038	26489.234	41053.213
1.08	17038	26791.449	41399.886
1.26	17038	27148.097	41806.588
1.44	17038	27560.251	42273.526
1.62	17038	28028.939	42800.732
1.8	17038	28555.191	43388.094
1.98	17038	29140.082	44035.357
2.16	17038	29784.766	44742.115
2.34	17038	30490.481	45507.771
2.52	17038	31258.527	46331.499
2.7	17038	32090.187	47212.171
2.88	17038	32986.627	48148.267
3.06	17038	33948.772	49137.761
3.24	17038	34977.231	50177.973
3.42	17038	36072.311	51265.397
3.6	17038	37234.154	52395.508
3.78	17038	38462.969	53562.575
3.96	17038	39759.264	54759.507
4.14	17038	41123.936	55977.768
4.32	17038	42558.145	57207.4
4.5	17038	44063.034	58437.124
4.68	17038	45639.527	59654.453
4.86	17038	47288.457	60845.66
5.04	17038	49011.01	61995.73
5.22	17038	50808.722	63089.439
