r(x_rel=0.75)	t=0	t=1000	t=1665
0	29866	13646.686	4464.1578
0.20206897	29866	13632.09	4454.9072
0.40413793	29866	13617.463	4445.648
0.6062069	29866	13596.92	4432.6671
0.80827586	29866	13569.558	4415.4152
1.0103448	29866	13535.006	4393.6882
1.2124138	29866	13493.033	4367.3704
1.4144828	29866	13443.451	4336.3754
1.6165517	29866	13386.099	4300.6261
1.8186207	29866	13320.832	4260.0472
2.0206897	29866	13247.524	4214.5615
2.2227586	29866	13166.078	4164.0881
2.4248276	29866	13076.428	4108.5425
2.6268966	29866	12978.546	4047.8367
2.8289655	29866	12872.453	3981.8802
3.0310345	29866	12758.212	3910.5813
3.2331034	29866	12635.938	3833.8493
3.4351724	29866	12505.791	3751.596
3.6372414	29866	12367.97	3663.7384
3.8393103	29866	12222.705	3570.2001
4.0413793	29866	12070.25	3470.9133
4.2434483	29866	11910.869	3365.8192
4.4455172	29866	11744.834	3254.8679
4.6475862	29866	11572.413	3138.0167
4.8496552	29866	11393.878	3015.2266
5.0517241	29866	11209.498	2886.4587
5.2537931	29866	11019.554	2751.6701
5.4558621	29866	10824.341	2610.8132
5.657931	29866	10624.178	2463.8416
5.86	29866	10419.452	2310.7676
